otel_ad,fiyat,Predicted Price (SVR & RF),Price Difference,Fair Price Percentage,Fair Price Range
Hoşça Kal Alaçatı,11000.0,10626.0,374.0,3.4,Fair
Maris Beach Hotel,7247.0,10372.9,-3125.8999999999996,43.13,Significantly Overpriced
Kimeros Park Holiday Village,26784.0,19332.6,7451.4000000000015,27.82,Significantly Overpriced
Club Mermaid Village,10475.5,21312.2,-10836.7,103.45,Significantly Overpriced
Sentido Trendy Verbena Beach,26400.0,20675.5,5724.5,21.68,Significantly Overpriced
Hotel Melas Lara,21420.0,18705.4,2714.5999999999985,12.67,Overpriced
Sesin Hotel,5280.0,10338.9,-5058.9,95.81,Significantly Overpriced
Venosa Beach Resort,20160.0,19826.9,333.09999999999854,1.65,Fair
Orange County Alanya,13650.0,16900.3,-3250.2999999999993,23.81,Significantly Overpriced
Mert Seaside Hotel,6960.0,10534.9,-3574.8999999999996,51.36,Significantly Overpriced
My Dream Hotel,6120.0,9266.3,-3146.2999999999993,51.41,Significantly Overpriced
Kirman Arycanda De Luxe,26392.5,21506.3,4886.200000000001,18.51,Overpriced
Armonia Holiday Village Spa,9578.8,14690.2,-5111.4000000000015,53.36,Significantly Overpriced
La Perla Hotel Kemer,11917.1,13565.9,-1648.7999999999993,13.84,Overpriced
Side Premium Hotel,35820.0,23047.8,12772.2,35.66,Significantly Overpriced
Oscar Garden Hotel,7560.0,8747.1,-1187.1000000000004,15.7,Overpriced
Martı Hemithea Hotel,41368.1,25480.1,15888.0,38.41,Significantly Overpriced
Mirage World Hotel,13177.2,13670.7,-493.5,3.75,Fair
Miramor Garden Resort,11526.0,11097.5,428.5,3.72,Fair
Nex Royal Beach Hotel,9065.0,10617.1,-1552.1000000000004,17.12,Overpriced
Aydınbey Gold Dreams Hotel,186300.0,70045.0,116255.0,62.4,Significantly Overpriced
Otel Safran Palas,9693.8,10146.4,-452.60000000000036,4.67,Fair
Side Royal Style,22199.8,15691.0,6508.799999999999,29.32,Significantly Overpriced
Mivara Luxury Resort Spa,28885.6,21840.6,7045.0,24.39,Significantly Overpriced
Otel Gümüşlük,11848.9,11821.5,27.399999999999636,0.23,Fair
Kleopatra İkiz Otel,5283.5,9614.0,-4330.5,81.96,Significantly Overpriced
Old Town Point Hotel,8150.8,8787.0,-636.1999999999998,7.81,Slight Overpriced
Ni Marin Hotel,14599.2,14315.4,283.8000000000011,1.94,Fair
Olive Tree Hotel,14400.0,12634.4,1765.6000000000004,12.26,Overpriced
Otto Palace Boutique Hotel,8277.6,10639.3,-2361.699999999999,28.53,Significantly Overpriced
Park Ulusoy Hotel,8184.9,13527.4,-5342.5,65.27,Significantly Overpriced
Museum Resort Spa,5700.0,7619.6,-1919.6000000000004,33.68,Significantly Overpriced
Aydınbey Queen`s Palace Hotel,23120.0,17481.3,5638.700000000001,24.39,Significantly Overpriced
Larissa Sultans Beach Hotel,8976.0,11520.7,-2544.7000000000007,28.35,Significantly Overpriced
Kirman Calyptus Resort Spa,23922.8,19031.9,4890.899999999998,20.44,Significantly Overpriced
Ramada Resort Bodrum,22110.0,12397.7,9712.3,43.93,Significantly Overpriced
Miranda Moral Beach Hotel,20659.2,10507.6,10151.6,49.14,Significantly Overpriced
Morino Alaçatı,38400.0,20504.7,17895.3,46.6,Significantly Overpriced
Mira Su Hotel,4866.4,7797.6,-2931.2000000000007,60.23,Significantly Overpriced
Sirius Deluxe Hotel,20160.0,17972.7,2187.2999999999993,10.85,Overpriced
Payava Hotel By True Blue,23400.4,16922.0,6478.4000000000015,27.68,Significantly Overpriced
Meryem Ana,28800.0,17348.0,11452.0,39.76,Significantly Overpriced
More Hotel,6238.0,9158.5,-2920.5,46.82,Significantly Overpriced
My Dream Alaçatı,18000.0,14091.0,3909.0,21.72,Significantly Overpriced
White City Resort Spa,18647.5,22059.6,-3412.0999999999985,18.3,Overpriced
Mustis Royal Plaza Hotel,12000.0,13124.1,-1124.1000000000004,9.37,Slight Overpriced
Belconti Resort Hotel,21234.2,20676.4,557.7999999999993,2.63,Fair
Kirman Sidemarin Beach Spa,26392.5,21585.3,4807.200000000001,18.21,Overpriced
Route Hotel Adult Only +12,12513.6,13527.4,-1013.7999999999993,8.1,Slight Overpriced
Premier Nergis Beach,16392.4,15730.8,661.6000000000022,4.04,Fair
Mysea Hotels Alara,12797.6,13359.4,-561.7999999999993,4.39,Fair
Ramiz Alaçatı,8000.0,10507.6,-2507.6000000000004,31.35,Significantly Overpriced
Mylome Luxury Hotel Resort,27907.2,21182.9,6724.299999999999,24.1,Significantly Overpriced
Pure Blanche,19370.8,13441.8,5929.0,30.61,Significantly Overpriced
Rayana Hotel,9044.0,10676.8,-1632.7999999999993,18.05,Overpriced
Ramona Hotel,6594.6,8436.5,-1841.8999999999996,27.93,Significantly Overpriced
Rose Garden Butik,7786.2,10270.3,-2484.0999999999995,31.9,Significantly Overpriced
Bijal Hotel,13920.0,13830.8,89.20000000000073,0.64,Fair
Bera Hotel Alanya,9240.0,12687.1,-3447.1000000000004,37.31,Significantly Overpriced
Myra Hotel,9431.5,9838.0,-406.5,4.31,Fair
Saphir Resort Spa,24200.0,19754.1,4445.9000000000015,18.37,Overpriced
Side Su Hotel,8210.5,15660.7,-7450.200000000001,90.74,Significantly Overpriced
Ege Palas Business Hotel,13484.3,13069.6,414.6999999999989,3.08,Fair
Kirman Sidera Luxury Spa,27000.0,21057.8,5942.200000000001,22.01,Significantly Overpriced
Vonresort Elite,32800.0,20509.5,12290.5,37.47,Significantly Overpriced
Quadas Hotel,11880.0,13364.2,-1484.2000000000007,12.49,Overpriced
Nirvana Cosmopolitan Hotel,39511.8,19353.5,20158.300000000003,51.02,Significantly Overpriced
Royal Hayat Hotel,12000.0,11492.6,507.39999999999964,4.23,Fair
Salbakos Herakleia Boutique Hotel,20000.0,11635.0,8365.0,41.82,Significantly Overpriced
Wind Of Lara Hotel Spa,24684.8,16616.6,8068.200000000001,32.68,Significantly Overpriced
Laguna Beach Alya Resort Spa,17486.4,15142.3,2344.100000000002,13.41,Overpriced
Boyalık Beach Hotel Spa Thermal Resort,43040.4,23222.8,19817.600000000002,46.04,Significantly Overpriced
Ramada By Wyndham İzmir Aliağa,13785.4,11840.7,1944.699999999999,14.11,Overpriced
Salinas Wooden Houses,6400.0,8970.3,-2570.2999999999993,40.16,Significantly Overpriced
Wome Deluxe Hotel,29700.0,21027.5,8672.5,29.2,Significantly Overpriced
Özlem Garden Hotel,5672.8,10018.4,-4345.599999999999,76.6,Significantly Overpriced
Notion Kesre Beach Hotel Spa,17570.5,15237.8,2332.7000000000007,13.28,Overpriced
Aurasia Deluxe Hotel,7688.5,10616.5,-2928.0,38.08,Significantly Overpriced
May Park Hotel,6588.2,10493.8,-3905.5999999999995,59.28,Significantly Overpriced
Mb City Hotel,7925.2,11434.2,-3509.000000000001,44.28,Significantly Overpriced
Dragut Point North Hotel,7468.4,10851.5,-3383.1000000000004,45.3,Significantly Overpriced
Champion Holiday Village,30240.0,20951.6,9288.400000000001,30.72,Significantly Overpriced
Ramada Hotel Suites İzmir Kemalpaşa,12806.4,11339.0,1467.3999999999996,11.46,Overpriced
Yasmin Bodrum Resort,13323.1,17854.3,-4531.199999999999,34.01,Significantly Overpriced
Sea View Otel,16680.0,15572.1,1107.8999999999996,6.64,Slight Overpriced
Xanadu Island Bodrum,23538.0,19468.3,4069.7000000000007,17.29,Overpriced
Limak Atlantis Deluxe Hotel Resort,15849.6,18041.4,-2191.800000000001,13.83,Overpriced
Reis Maris Hotel,4727.3,8602.6,-3875.3,81.98,Significantly Overpriced
Serez Otel Alaçatı By La Mira,8500.0,8764.7,-264.7000000000007,3.11,Fair
Flora Bodrum Hotel,9000.0,10335.0,-1335.0,14.83,Overpriced
Selimhan Otel Selimiye,15292.0,12933.0,2359.0,15.43,Overpriced
Pirate`s Beach Club,20790.0,19071.8,1718.2000000000007,8.26,Slight Overpriced
Ramitos Hotel Turunç,19576.8,13478.9,6097.9,31.15,Significantly Overpriced
Mio Mare Resort,7870.9,14500.4,-6629.5,84.23,Significantly Overpriced
Side Erenler Hotel,9000.0,10361.2,-1361.2000000000007,15.12,Overpriced
Club Paradiso,27900.0,25018.9,2881.0999999999985,10.33,Overpriced
Relax Beach Hotel,15300.0,13828.5,1471.5,9.62,Slight Overpriced
Limak Lara Deluxe Hotel Resort,18707.2,20288.5,-1581.2999999999993,8.45,Slight Overpriced
Adalya Resort Spa Adults Only,29907.3,20823.2,9084.099999999999,30.37,Significantly Overpriced
Side Güneş Pansiyon,6210.0,13527.4,-7317.4,117.83,Significantly Overpriced
Club Side Coast Hotel,29440.0,18063.0,11377.0,38.64,Significantly Overpriced
Rammos Managed By Dedeman,17660.6,14663.0,2997.5999999999985,16.97,Overpriced
Xanadu Resort Hotel,26573.4,21485.4,5088.0,19.15,Overpriced
Bitez Garden Life,9294.0,11718.6,-2424.6000000000004,26.09,Significantly Overpriced
Signature Alaçatı,15651.0,10926.5,4724.5,30.19,Significantly Overpriced
Naturella Apart Hotel,34187.5,17126.3,17061.2,49.9,Significantly Overpriced
Sealine Suite Hotel,12240.0,12253.6,-13.600000000000364,0.11,Fair
Altis Resort Hotel Spa,27600.0,17963.1,9636.900000000001,34.92,Significantly Overpriced
Limak Limra Hotel Resort,21000.0,18936.7,2063.2999999999993,9.83,Slight Overpriced
Regulus Gümbet Beach Resort,7102.0,9759.8,-2657.7999999999993,37.42,Significantly Overpriced
Commodore Elite Suites Spa,33840.0,20823.2,13016.8,38.47,Significantly Overpriced
Astoria Beach Hotel,4656.9,9176.6,-4519.700000000001,97.05,Significantly Overpriced
Port Nature Luxury Resort Hotel Spa,24144.0,20451.9,3692.0999999999985,15.29,Overpriced
Beach Club Doğanay,16976.4,18769.8,-1793.3999999999978,10.56,Overpriced
Lonicera Resort Spa Hotel,14560.0,17301.2,-2741.2000000000007,18.83,Overpriced
Side Beach Club,10276.0,11194.7,-918.7000000000007,8.94,Slight Overpriced
Rich Melissa Hotel,7752.0,8406.4,-654.3999999999996,8.44,Slight Overpriced
Selin Otel Spa Belek,6017.9,11538.3,-5520.4,91.73,Significantly Overpriced
Kolibri Hotel,6967.2,10126.4,-3159.2,45.34,Significantly Overpriced
Diamond Hill Resort,12960.0,15134.6,-2174.6000000000004,16.78,Overpriced
Cornelia De Luxe Resort,32640.0,22035.3,10604.7,32.49,Significantly Overpriced
Malibu Resort Hotel,4171.2,8502.9,-4331.7,103.85,Significantly Overpriced
Elementa Boutique Hotel,17400.0,13611.9,3788.1000000000004,21.77,Significantly Overpriced
Hedef Beach Resort Spa,11400.0,14180.6,-2780.6000000000004,24.39,Significantly Overpriced
Smart City Bodrum,4952.5,11836.5,-6884.0,139.0,Significantly Overpriced
Lrs Lake River Side Hotel Spa,15600.0,14474.9,1125.1000000000004,7.21,Slight Overpriced
Silver Hotel,8268.8,9892.2,-1623.4000000000015,19.63,Overpriced
Olimpos Beach Hotel By Rrhr,10500.0,11147.9,-647.8999999999996,6.17,Slight Overpriced
Sisyphos Hotel Patara,5100.0,8879.3,-3779.2999999999993,74.1,Significantly Overpriced
Side Amour Hotel,9750.0,10483.5,-733.5,7.52,Slight Overpriced
Siesta Beach Apart Hotel,7920.0,11294.7,-3374.7000000000007,42.61,Significantly Overpriced
Romance Beach Hotel,13230.0,12486.7,743.2999999999993,5.62,Slight Overpriced
Sofa Kaleiçi,12495.0,13527.4,-1032.3999999999996,8.26,Slight Overpriced
Hedef Resort Hotel Spa,10200.0,14010.6,-3810.6000000000004,37.36,Significantly Overpriced
Porto Bello Hotel Resort Spa,21600.0,17503.5,4096.5,18.97,Overpriced
Lrs Port River Hotel Spa,15951.0,18158.3,-2207.2999999999993,13.84,Overpriced
Crystal Admiral Resort Suites Spa,37440.0,24613.7,12826.3,34.26,Significantly Overpriced
Sirene Luxury Bodrum,39281.0,24782.2,14498.8,36.91,Significantly Overpriced
Solis Beach Hotel,3400.0,9684.2,-6284.200000000001,184.83,Significantly Overpriced
Sunrise Queen Luxury Resort Spa,27404.0,21914.7,5489.299999999999,20.03,Significantly Overpriced
Spilos Gümüldür Hotel,4312.0,10073.1,-5761.1,133.61,Significantly Overpriced
Sun Arzum Bungalow,7360.0,7761.8,-401.8000000000002,5.46,Slight Overpriced
Soliport Hotel Spa Alaçatı,18360.0,13389.0,4971.0,27.08,Significantly Overpriced
Surga Alaçatı,26432.0,8693.1,17738.9,67.11,Significantly Overpriced
Suite Laguna Otel,20904.6,11976.6,8927.999999999998,42.71,Significantly Overpriced
Holiday Park Resort Hotel,15300.0,16122.6,-822.6000000000004,5.38,Slight Overpriced
Orange County Kemer,13650.0,16168.7,-2518.7000000000007,18.45,Overpriced
Luna Blanca Resort Spa,22933.0,18520.4,4412.5999999999985,19.24,Overpriced
Crystal De Luxe Resort Spa,31200.0,21270.9,9929.099999999999,31.82,Significantly Overpriced
Marvida Family Eco (Ex. Otium Family Eco Club),40096.0,13527.4,26568.6,66.26,Significantly Overpriced
Radisson Blu Resort Spa Çeşme,43608.0,25360.4,18247.6,41.84,Significantly Overpriced
Summer Rose Hotel,4915.2,7198.6,-2283.4000000000005,46.46,Significantly Overpriced
Glamour Resort Spa,15377.5,15886.8,-509.2999999999993,3.31,Fair
Casa Nonna Bodrum,65696.3,31173.8,34522.5,52.55,Significantly Overpriced
Şenyıldız Hotel,15000.0,13775.3,1224.7000000000007,8.16,Slight Overpriced
Sunny Hill Alya Hotel,12540.9,12003.9,537.0,4.28,Fair
Anjeliq Downtown Boutique Hotel,4860.0,11767.1,-6907.1,142.12,Significantly Overpriced
Crystal Family Resort Spa,28500.0,22414.5,6085.5,21.35,Significantly Overpriced
Rixos Downtown Antalya,34048.0,20645.6,13402.400000000001,39.36,Significantly Overpriced
Sunpoint Hotel Bodrum,6600.0,9220.8,-2620.7999999999993,39.71,Significantly Overpriced
Kırbıyık Resort Hotel,14600.0,25148.9,-10548.900000000001,72.25,Significantly Overpriced
Mediterra Art Hotel,10511.4,9337.3,1174.1000000000004,11.17,Overpriced
Surla Hotel,10500.0,11390.4,-890.3999999999996,8.48,Slight Overpriced
Güler Butik Hotel,3228.0,12802.9,-9574.9,296.62,Significantly Overpriced
Orange County Belek,20160.0,16831.6,3328.4000000000015,16.51,Overpriced
İzmir Marriott,27057.8,19165.6,7892.200000000001,29.17,Significantly Overpriced
Surya Butik Hotel,22400.0,14842.3,7557.700000000001,33.74,Significantly Overpriced
Meridia Beach Hotel,19400.0,17879.8,1520.2000000000007,7.84,Slight Overpriced
Crystal Palace Luxury Resort Spa,9008.4,17306.7,-8298.300000000001,92.12,Significantly Overpriced
Club Hotel Barbarossa Kaş,16957.5,15669.1,1288.3999999999996,7.6,Slight Overpriced
Swan Boutique Hotel +12,12179.9,13527.4,-1347.5,11.06,Overpriced
Lonicera Premium Hotel,12941.1,13855.7,-914.6000000000004,7.07,Slight Overpriced
Tal Beach Hotel,4710.2,13527.4,-8817.2,187.19,Significantly Overpriced
Robinson Club Pamfilya,39155.2,23761.9,15393.299999999996,39.31,Significantly Overpriced
Cotton Boutique Hotel,8994.2,9265.0,-270.7999999999993,3.01,Fair
Şavk Hotel,9000.0,13400.9,-4400.9,48.9,Significantly Overpriced
Ege Tulip Çeşme Deluxe Hotel,8092.0,9287.4,-1195.3999999999996,14.77,Overpriced
The Abc Hotel,15729.6,10507.6,5222.0,33.2,Significantly Overpriced
Robinson Çamyuva,19140.0,18204.0,936.0,4.89,Fair
Şirince Klaseas Hotel,22000.0,9101.9,12898.1,58.63,Significantly Overpriced
Crystal Prestige Elite,18720.0,18095.4,624.5999999999985,3.34,Fair
Meryan Beach Hotel Spa,22120.0,18295.8,3824.2000000000007,17.29,Overpriced
The Beachfront Hotel,20088.0,15491.3,4596.700000000001,22.88,Significantly Overpriced
Temple Hotel,4586.4,9123.9,-4537.5,98.93,Significantly Overpriced
Klas More Beach Hotel,12000.0,12788.0,-788.0,6.57,Slight Overpriced
The Yalı Konak Hotel İzmir,10857.6,12676.0,-1818.3999999999996,16.75,Overpriced
The Hello Hotel,7088.6,11019.4,-3930.7999999999993,55.45,Significantly Overpriced
Tangiers Hotel Yalıkavak,10500.0,11173.6,-673.6000000000004,6.42,Slight Overpriced
Golden Key Bördübet,15000.0,16425.0,-1425.0,9.5,Slight Overpriced
The Rest Port Argento,23895.9,13697.7,10198.2,42.68,Significantly Overpriced
Saylam Suites,28480.0,10974.8,17505.2,61.46,Significantly Overpriced
The New Zeybek Hotel,5283.5,7737.0,-2453.5,46.44,Significantly Overpriced
Mirada Del Mar,35280.0,24927.6,10352.400000000001,29.34,Significantly Overpriced
Villa Rustica Hotel,18000.0,12764.0,5236.0,29.09,Significantly Overpriced
Crystal Sunset Luxury,55440.0,29505.7,25934.3,46.78,Significantly Overpriced
Seven Seas Hotel Blue,21000.0,18685.8,2314.2000000000007,11.02,Overpriced
Provence Mansion Alaçatı,11000.0,12798.3,-1798.2999999999993,16.35,Overpriced
Royal Atlantis Spa Resort,30450.0,22620.3,7829.700000000001,25.71,Significantly Overpriced
Port Side Resort Hotel,24912.3,17638.9,7273.399999999998,29.2,Significantly Overpriced
The Xon Hotel Çeşme,23400.0,11820.7,11579.3,49.48,Significantly Overpriced
Tiny Town Kuyucak,16450.0,12052.6,4397.4,26.73,Significantly Overpriced
Upperhouse Boutique Hotel,9200.0,16741.2,-7541.200000000001,81.97,Significantly Overpriced
Toll Garden,9300.0,12771.1,-3471.1000000000004,37.32,Significantly Overpriced
Side Royal Palace Hotel Spa,29907.6,20858.4,9049.199999999997,30.26,Significantly Overpriced
Crystal Waterworld Resort Spa,28050.0,28201.6,-151.59999999999854,0.54,Fair
Tui Blue Angora Beach,19719.9,15000.2,4719.700000000001,23.93,Significantly Overpriced
Nirvana Mediterranean Excellence,11137.5,40752.4,-29614.9,265.9,Significantly Overpriced
Wasa Hotel,8721.0,8845.1,-124.10000000000036,1.42,Fair
Kosa Otel Çeşme,8500.0,10325.3,-1825.2999999999993,21.47,Significantly Overpriced
Radisson Collection Bodrum,27572.0,21508.4,6063.5999999999985,21.99,Significantly Overpriced
Royal Holiday Palace,30450.0,22397.2,8052.799999999999,26.45,Significantly Overpriced
Zeybek Beach Hotel,3853.3,10240.8,-6387.499999999999,165.77,Significantly Overpriced
Ramada By Wyndham Tire,14000.0,13177.7,822.2999999999993,5.87,Slight Overpriced
Zeynel Hotel,8700.0,9742.7,-1042.7000000000007,11.99,Overpriced
Alaçatı Bellezza Hotel,8128.4,9691.2,-1562.800000000001,19.23,Overpriced
Anjeliq House Boutique Hotel,12524.4,12455.9,68.5,0.55,Fair
Toscana Garden Bungalov,10800.0,10758.6,41.399999999999636,0.38,Fair
Raymar Resort Aqua,13440.0,20094.1,-6654.0999999999985,49.51,Significantly Overpriced
Side Star Beach,22704.0,18288.8,4415.200000000001,19.45,Overpriced
Sorgun Akadia Hotel Luxury Resort Adult Only+16,31320.0,13527.4,17792.6,56.81,Significantly Overpriced
Alaçatı Aura Plus Otel,9899.9,9734.6,165.29999999999927,1.67,Fair
Atalla Otel,5942.8,6861.8,-919.0,15.46,Overpriced
Kaftans City Hotel By Rrhr,5037.8,8332.7,-3294.9000000000005,65.4,Significantly Overpriced
Cumbalıca Garden Hotel,28671.7,14609.8,14061.900000000001,49.04,Significantly Overpriced
Best Western Plus Konak,11400.0,11084.2,315.7999999999993,2.77,Fair
Mekvin Hotels Deniz Feneri Lighthouse +12 Adults Only,9523.8,13527.4,-4003.6000000000004,42.04,Significantly Overpriced
Riolavitas Resort Spa,13455.0,12972.1,482.89999999999964,3.59,Fair
Asrın Beach Hotel,8861.4,12839.7,-3978.300000000001,44.89,Significantly Overpriced
Crystal Boutique Beach Resort,14657.7,17150.9,-2493.2000000000007,17.01,Overpriced
True Blue Boutique Hotel,21159.1,16087.9,5071.199999999999,23.97,Significantly Overpriced
Muup Alaçatı,12000.0,11358.5,641.5,5.35,Slight Overpriced
Seashell Vega,30536.4,11257.8,19278.600000000002,63.13,Significantly Overpriced
Side Sunport Hotel Spa (Ex. Side Sungate),19207.2,13527.4,5679.800000000001,29.57,Significantly Overpriced
Numa Port Hotel,12400.0,11565.3,834.7000000000007,6.73,Slight Overpriced
Fortuna Beach,6173.5,10520.5,-4347.0,70.41,Significantly Overpriced
Royal Seginus Hotel,33180.0,25473.1,7706.9000000000015,23.23,Significantly Overpriced
Villa Side Hotel,21000.0,15244.1,5755.9,27.41,Significantly Overpriced
Aurora Sığacık Hotel,4176.0,10507.6,-6331.6,151.62,Significantly Overpriced
Aura Village Alaçatı,7200.0,9059.9,-1859.8999999999996,25.83,Significantly Overpriced
Regia Mare Beach Hotel Bodrum,13440.0,12126.1,1313.8999999999996,9.78,Slight Overpriced
Vonresort Golden Beach,28000.0,21027.1,6972.9000000000015,24.9,Significantly Overpriced
Sarp Hotels Kadriye,4400.0,9557.9,-5157.9,117.22,Significantly Overpriced
Club Hotel Rama,12168.0,13228.9,-1060.8999999999996,8.72,Slight Overpriced
Un Amor Hotel +16 Adults Only,11000.0,13527.4,-2527.3999999999996,22.98,Significantly Overpriced
Rizom Beach Hotel Kumluca,8640.0,12156.9,-3516.8999999999996,40.7,Significantly Overpriced
