otel_ad,fiyat,SVR Predicted Price,RF Predicted Price,SVR Price Difference,RF Price Difference,SVR Fair Price Percentage,RF Fair Price Percentage,SVR Fair Price Range,RF Fair Price Range
Swissotel Büyük Efes İzmir,31304.5,12512.1,27524.8,18792.4,3779.7000000000007,60.03,12.07,Significantly Overpriced,Overpriced
Kleopatra Royal Palm Hotel,7875.0,14149.3,13923.4,-6274.299999999999,-6048.4,79.67,76.81,Significantly Overpriced,Significantly Overpriced
Grand Ring Hotel,15600.0,14666.3,17554.5,933.7000000000007,-1954.5,5.99,12.53,Slight Overpriced,Overpriced
Laren Seaside Hotel Spa,11156.5,11743.3,11797.3,-586.7999999999993,-640.7999999999993,5.26,5.74,Slight Overpriced,Slight Overpriced
Adam Eve,31350.0,17227.9,24760.5,14122.099999999999,6589.5,45.05,21.02,Significantly Overpriced,Significantly Overpriced
Lara World Hotel,5925.0,11213.3,7204.1,-5288.299999999999,-1279.1000000000004,89.25,21.59,Significantly Overpriced,Significantly Overpriced
Royal Atlantis Beach,21692.0,14642.1,23067.8,7049.9,-1375.7999999999993,32.5,6.34,Significantly Overpriced,Slight Overpriced
İnnvista Belek Antalya,15966.4,10149.8,22616.6,5816.6,-6650.199999999999,36.43,41.65,Significantly Overpriced,Significantly Overpriced
Swissotel Resort Spa Çeşme,40600.6,14464.0,36899.6,26136.6,3701.0,64.37,9.12,Significantly Overpriced,Slight Overpriced
The X Belek,19219.7,11345.8,21060.2,7873.9000000000015,-1840.5,40.97,9.58,Significantly Overpriced,Slight Overpriced
Mucho Butik Otel,8000.0,10982.3,8648.8,-2982.2999999999993,-648.7999999999993,37.28,8.11,Significantly Overpriced,Slight Overpriced
Green Nature Diamond,27072.0,16299.1,25021.9,10772.9,2050.0999999999985,39.79,7.57,Significantly Overpriced,Slight Overpriced
Lavitas Hotel,7140.0,9179.2,7548.6,-2039.2000000000007,-408.60000000000036,28.56,5.72,Significantly Overpriced,Slight Overpriced
My Bitez Suites,14000.0,10934.7,10893.4,3065.2999999999993,3106.6000000000004,21.89,22.19,Significantly Overpriced,Significantly Overpriced
Sensitive Premium Resort Spa,18905.9,13154.0,20944.2,5751.9000000000015,-2038.2999999999993,30.42,10.78,Significantly Overpriced,Overpriced
Lonicera City Kleopatra Hotel,6068.7,12008.6,7340.7,-5939.900000000001,-1272.0,97.88,20.96,Significantly Overpriced,Significantly Overpriced
Adin Beach Hotel,27600.0,14802.6,26647.2,12797.4,952.7999999999993,46.37,3.45,Significantly Overpriced,Fair
Justiniano Park Conti Club,20563.2,15503.0,21405.7,5060.200000000001,-842.5,24.61,4.1,Significantly Overpriced,Fair
Nebilux Hotel,13176.4,11345.1,9386.1,1831.2999999999993,3790.2999999999993,13.9,28.77,Overpriced,Significantly Overpriced
Latanya Palm Hotel,7200.0,8498.1,11431.8,-1298.1000000000004,-4231.799999999999,18.03,58.77,Overpriced,Significantly Overpriced
Tui Blue Pascha Bay,16632.0,14130.6,16813.1,2501.3999999999996,-181.09999999999854,15.04,1.09,Overpriced,Fair
Antique Roman Palace +16,11550.0,11000.1,16054.6,549.8999999999996,-4504.6,4.76,39.0,Fair,Significantly Overpriced
Nills Stone House Otel,28920.3,11000.1,16054.6,17920.199999999997,12865.699999999999,61.96,44.49,Significantly Overpriced,Significantly Overpriced
Neva Hotel Alaçatı,10431.0,11000.1,16054.6,-569.1000000000004,-5623.6,5.46,53.91,Slight Overpriced,Significantly Overpriced
Nilus Butik Otel,5700.0,8169.6,7067.3,-2469.6000000000004,-1367.3000000000002,43.33,23.99,Significantly Overpriced,Significantly Overpriced
Lupo Libero Hotel Spa,9830.6,9319.0,10541.2,511.60000000000036,-710.6000000000004,5.2,7.23,Slight Overpriced,Slight Overpriced
Haydarpasha Palace,18900.0,16539.2,20471.8,2360.7999999999993,-1571.7999999999993,12.49,8.32,Overpriced,Slight Overpriced
Meriç Hotel Turunç,7481.2,12712.3,7834.4,-5231.099999999999,-353.1999999999998,69.92,4.72,Significantly Overpriced,Fair
Alaiye Resort Spa,15744.0,16176.8,20672.9,-432.7999999999993,-4928.9000000000015,2.75,31.31,Fair,Significantly Overpriced
Astoria Hotel,11186.0,12176.3,11844.6,-990.2999999999993,-658.6000000000004,8.85,5.89,Slight Overpriced,Slight Overpriced
Marbas Select Beach,3752.0,13140.4,9037.9,-9388.4,-5285.9,250.22,140.88,Significantly Overpriced,Significantly Overpriced
Kahya Resort Aqua Spa,23680.0,15560.0,28221.4,8120.0,-4541.4000000000015,34.29,19.18,Significantly Overpriced,Overpriced
Sentido Kamelya Fulya Hotel,33526.6,17282.5,31761.0,16244.099999999999,1765.5999999999985,48.45,5.27,Significantly Overpriced,Slight Overpriced
Nixie Hotel Beach Yalıkavak - Adult Only,8550.9,12375.6,16516.2,-3824.7000000000007,-7965.300000000001,44.73,93.15,Significantly Overpriced,Significantly Overpriced
Şah Inn Paradise,28000.0,14983.5,23098.2,13016.5,4901.799999999999,46.49,17.51,Significantly Overpriced,Overpriced
Celeste Bella Luxury Hotel Spa,14257.2,11593.2,12396.9,2664.0,1860.300000000001,18.69,13.05,Overpriced,Overpriced
Aletris Deluxe Hotel Spa,28124.0,12917.7,24858.3,15206.3,3265.7000000000007,54.07,11.61,Significantly Overpriced,Overpriced
The Marmara Bodrum,27827.8,9498.5,14332.8,18329.3,13495.0,65.87,48.49,Significantly Overpriced,Significantly Overpriced
Tui Magic Life Bodrum +16 Adult Only,26573.4,11000.1,16054.6,15573.300000000001,10518.800000000001,58.6,39.58,Significantly Overpriced,Significantly Overpriced
Kempinski Hotel Barbaros Bay,47376.0,14037.4,29543.2,33338.6,17832.8,70.37,37.64,Significantly Overpriced,Significantly Overpriced
Hillstone Bodrum Hotel Spa,32400.0,10491.3,19259.1,21908.7,13140.900000000001,67.62,40.56,Significantly Overpriced,Significantly Overpriced
Sentido Kamelya Selin Hotel,36708.0,17307.0,28931.5,19401.0,7776.5,52.85,21.18,Significantly Overpriced,Significantly Overpriced
Marin Hotel Kemer,4500.0,10640.4,6426.7,-6140.4,-1926.6999999999998,136.45,42.82,Significantly Overpriced,Significantly Overpriced
No81 Hotel,12800.0,12489.2,22886.3,310.7999999999993,-10086.3,2.43,78.8,Fair,Significantly Overpriced
Monte Carlo Hotel,10260.0,13023.7,9887.7,-2763.7000000000007,372.2999999999993,26.94,3.63,Significantly Overpriced,Fair
Odette Bodrum,15000.0,8422.3,12261.5,6577.700000000001,2738.5,43.85,18.26,Significantly Overpriced,Overpriced
Munamar Park Otel,7335.5,11175.1,8828.2,-3839.6000000000004,-1492.7000000000007,52.34,20.35,Significantly Overpriced,Significantly Overpriced
Olympos Forest House Hotel,14400.0,8236.5,13074.1,6163.5,1325.8999999999996,42.8,9.21,Significantly Overpriced,Slight Overpriced
Aqı Pegasos Royal,20202.0,14051.2,22282.5,6150.799999999999,-2080.5,30.45,10.3,Significantly Overpriced,Overpriced
Hoşça Kal Alaçatı,11000.0,10906.8,10345.3,93.20000000000073,654.7000000000007,0.85,5.95,Fair,Slight Overpriced
Maris Beach Hotel,7247.0,12297.3,8448.5,-5050.299999999999,-1201.5,69.69,16.58,Significantly Overpriced,Overpriced
Kimeros Park Holiday Village,26784.0,14304.4,24360.7,12479.6,2423.2999999999993,46.59,9.05,Significantly Overpriced,Slight Overpriced
Club Mermaid Village,10475.5,12629.3,29995.2,-2153.7999999999993,-19519.7,20.56,186.34,Significantly Overpriced,Significantly Overpriced
Sentido Trendy Verbena Beach,26400.0,16217.1,25133.8,10182.9,1266.2000000000007,38.57,4.8,Significantly Overpriced,Fair
Hotel Melas Lara,21420.0,13652.4,23758.4,7767.6,-2338.4000000000015,36.26,10.92,Significantly Overpriced,Overpriced
Sesin Hotel,5280.0,13533.6,7144.2,-8253.6,-1864.1999999999998,156.32,35.31,Significantly Overpriced,Significantly Overpriced
Venosa Beach Resort,20160.0,15884.1,23769.6,4275.9,-3609.5999999999985,21.21,17.9,Significantly Overpriced,Overpriced
Orange County Alanya,13650.0,16111.1,17689.5,-2461.1000000000004,-4039.5,18.03,29.59,Overpriced,Significantly Overpriced
Mert Seaside Hotel,6960.0,11996.9,9073.0,-5036.9,-2113.0,72.37,30.36,Significantly Overpriced,Significantly Overpriced
My Dream Hotel,6120.0,12070.2,6462.4,-5950.200000000001,-342.39999999999964,97.23,5.59,Significantly Overpriced,Slight Overpriced
Kirman Arycanda De Luxe,26392.5,15803.0,27209.6,10589.5,-817.0999999999985,40.12,3.1,Significantly Overpriced,Fair
Armonia Holiday Village Spa,9578.8,15456.1,13924.3,-5877.300000000001,-4345.5,61.36,45.37,Significantly Overpriced,Significantly Overpriced
La Perla Hotel Kemer,11917.1,12170.4,14961.4,-253.29999999999927,-3044.2999999999993,2.13,25.55,Fair,Significantly Overpriced
Side Premium Hotel,35820.0,14431.3,31664.3,21388.7,4155.700000000001,59.71,11.6,Significantly Overpriced,Overpriced
Oscar Garden Hotel,7560.0,9042.1,8452.1,-1482.1000000000004,-892.1000000000004,19.6,11.8,Overpriced,Overpriced
Martı Hemithea Hotel,41368.1,13416.0,37544.3,27952.1,3823.7999999999956,67.57,9.24,Significantly Overpriced,Slight Overpriced
Mirage World Hotel,13177.2,14106.5,13235.0,-929.2999999999993,-57.79999999999927,7.05,0.44,Slight Overpriced,Fair
Miramor Garden Resort,11526.0,11304.3,10890.6,221.70000000000073,635.3999999999996,1.92,5.51,Fair,Slight Overpriced
Nex Royal Beach Hotel,9065.0,11827.7,9406.6,-2762.7000000000007,-341.60000000000036,30.48,3.77,Significantly Overpriced,Fair
Aydınbey Gold Dreams Hotel,186300.0,15207.0,124883.0,171093.0,61417.0,91.84,32.97,Significantly Overpriced,Significantly Overpriced
Otel Safran Palas,9693.8,10499.4,9793.5,-805.6000000000004,-99.70000000000073,8.31,1.03,Slight Overpriced,Fair
Side Royal Style,22199.8,12165.6,19216.5,10034.199999999999,2983.2999999999993,45.2,13.44,Significantly Overpriced,Overpriced
Mivara Luxury Resort Spa,28885.6,13967.3,29713.9,14918.3,-828.3000000000029,51.65,2.87,Significantly Overpriced,Fair
Otel Gümüşlük,11848.9,12226.2,11416.8,-377.3000000000011,432.10000000000036,3.18,3.65,Fair,Fair
Kleopatra İkiz Otel,5283.5,12716.2,6511.8,-7432.700000000001,-1228.3000000000002,140.68,23.25,Significantly Overpriced,Significantly Overpriced
Old Town Point Hotel,8150.8,8892.8,8681.1,-741.9999999999991,-530.3000000000002,9.1,6.51,Slight Overpriced,Slight Overpriced
Ni Marin Hotel,14599.2,12612.1,16018.8,1987.1000000000004,-1419.5999999999985,13.61,9.72,Overpriced,Slight Overpriced
Olive Tree Hotel,14400.0,11848.7,13420.1,2551.2999999999993,979.8999999999996,17.72,6.8,Overpriced,Slight Overpriced
Otto Palace Boutique Hotel,8277.6,10705.8,10572.9,-2428.199999999999,-2295.2999999999993,29.33,27.73,Significantly Overpriced,Significantly Overpriced
Park Ulusoy Hotel,8184.9,11000.1,16054.6,-2815.2000000000007,-7869.700000000001,34.4,96.15,Significantly Overpriced,Significantly Overpriced
Museum Resort Spa,5700.0,8242.9,6996.3,-2542.8999999999996,-1296.3000000000002,44.61,22.74,Significantly Overpriced,Significantly Overpriced
Aydınbey Queen`s Palace Hotel,23120.0,10774.9,24187.6,12345.1,-1067.5999999999985,53.4,4.62,Significantly Overpriced,Fair
Larissa Sultans Beach Hotel,8976.0,12931.7,10109.8,-3955.7000000000007,-1133.7999999999993,44.07,12.63,Significantly Overpriced,Overpriced
Kirman Calyptus Resort Spa,23922.8,13284.9,24778.8,10637.9,-856.0,44.47,3.58,Significantly Overpriced,Fair
Ramada Resort Bodrum,22110.0,10408.7,14386.7,11701.3,7723.299999999999,52.92,34.93,Significantly Overpriced,Significantly Overpriced
Miranda Moral Beach Hotel,20659.2,10475.3,10540.0,10183.900000000001,10119.2,49.29,48.98,Significantly Overpriced,Significantly Overpriced
Morino Alaçatı,38400.0,11612.4,29397.1,26787.6,9002.900000000001,69.76,23.45,Significantly Overpriced,Significantly Overpriced
Mira Su Hotel,4866.4,9873.5,5721.7,-5007.1,-855.3000000000002,102.89,17.58,Significantly Overpriced,Overpriced
Sirius Deluxe Hotel,20160.0,13778.8,22166.7,6381.200000000001,-2006.7000000000007,31.65,9.95,Significantly Overpriced,Slight Overpriced
Payava Hotel By True Blue,23400.4,11832.1,22011.9,11568.300000000001,1388.5,49.44,5.93,Significantly Overpriced,Slight Overpriced
Meryem Ana,28800.0,12222.1,22474.0,16577.9,6326.0,57.56,21.97,Significantly Overpriced,Significantly Overpriced
More Hotel,6238.0,11644.8,6672.2,-5406.799999999999,-434.1999999999998,86.68,6.96,Significantly Overpriced,Slight Overpriced
My Dream Alaçatı,18000.0,11301.9,16880.2,6698.1,1119.7999999999993,37.21,6.22,Significantly Overpriced,Slight Overpriced
White City Resort Spa,18647.5,16015.0,28104.3,2632.5,-9456.8,14.12,50.71,Overpriced,Significantly Overpriced
Mustis Royal Plaza Hotel,12000.0,12259.5,13988.7,-259.5,-1988.7000000000007,2.16,16.57,Fair,Overpriced
Belconti Resort Hotel,21234.2,15801.4,25551.3,5432.800000000001,-4317.0999999999985,25.59,20.33,Significantly Overpriced,Significantly Overpriced
Kirman Sidemarin Beach Spa,26392.5,16331.7,26838.9,10060.8,-446.40000000000146,38.12,1.69,Significantly Overpriced,Fair
Route Hotel Adult Only +12,12513.6,11000.1,16054.6,1513.5,-3541.0,12.09,28.3,Overpriced,Significantly Overpriced
Premier Nergis Beach,16392.4,13889.7,17572.0,2502.7000000000007,-1179.5999999999985,15.27,7.2,Overpriced,Slight Overpriced
Mysea Hotels Alara,12797.6,13203.5,13515.4,-405.89999999999964,-717.7999999999993,3.17,5.61,Fair,Slight Overpriced
Ramiz Alaçatı,8000.0,10475.3,10540.0,-2475.2999999999993,-2540.0,30.94,31.75,Significantly Overpriced,Significantly Overpriced
Mylome Luxury Hotel Resort,27907.2,16959.8,25406.0,10947.400000000001,2501.2000000000007,39.23,8.96,Significantly Overpriced,Slight Overpriced
Pure Blanche,19370.8,11814.3,15069.3,7556.5,4301.5,39.01,22.21,Significantly Overpriced,Significantly Overpriced
Rayana Hotel,9044.0,11606.2,9747.4,-2562.2000000000007,-703.3999999999996,28.33,7.78,Significantly Overpriced,Slight Overpriced
Ramona Hotel,6594.6,9520.9,7352.1,-2926.2999999999993,-757.5,44.37,11.49,Significantly Overpriced,Overpriced
Rose Garden Butik,7786.2,11434.1,9106.5,-3647.9000000000005,-1320.3000000000002,46.85,16.96,Significantly Overpriced,Overpriced
Bijal Hotel,13920.0,12751.4,14910.3,1168.6000000000004,-990.2999999999993,8.4,7.11,Slight Overpriced,Slight Overpriced
Bera Hotel Alanya,9240.0,13296.5,12077.7,-4056.5,-2837.7000000000007,43.9,30.71,Significantly Overpriced,Significantly Overpriced
Myra Hotel,9431.5,11042.4,8633.6,-1610.8999999999996,797.8999999999996,17.08,8.46,Overpriced,Slight Overpriced
Saphir Resort Spa,24200.0,15339.4,24168.8,8860.6,31.200000000000728,36.61,0.13,Significantly Overpriced,Fair
Side Su Hotel,8210.5,12923.0,18398.5,-4712.5,-10188.0,57.4,124.09,Significantly Overpriced,Significantly Overpriced
Ege Palas Business Hotel,13484.3,12434.7,13704.6,1049.5999999999985,-220.3000000000011,7.78,1.63,Slight Overpriced,Fair
Kirman Sidera Luxury Spa,27000.0,16156.0,25959.5,10844.0,1040.5,40.16,3.85,Significantly Overpriced,Fair
Vonresort Elite,32800.0,17207.0,23812.0,15593.0,8988.0,47.54,27.4,Significantly Overpriced,Significantly Overpriced
Quadas Hotel,11880.0,13270.9,13457.6,-1390.8999999999996,-1577.6000000000004,11.71,13.28,Overpriced,Overpriced
Nirvana Cosmopolitan Hotel,39511.8,13927.9,24779.0,25583.9,14732.800000000003,64.75,37.29,Significantly Overpriced,Significantly Overpriced
Royal Hayat Hotel,12000.0,11294.5,11690.7,705.5,309.2999999999993,5.88,2.58,Slight Overpriced,Fair
Salbakos Herakleia Boutique Hotel,20000.0,7953.6,15316.4,12046.4,4683.6,60.23,23.42,Significantly Overpriced,Significantly Overpriced
Wind Of Lara Hotel Spa,24684.8,10190.9,23042.2,14493.9,1642.5999999999985,58.72,6.65,Significantly Overpriced,Slight Overpriced
Laguna Beach Alya Resort Spa,17486.4,14172.3,16112.3,3314.100000000002,1374.1000000000022,18.95,7.86,Overpriced,Slight Overpriced
Boyalık Beach Hotel Spa Thermal Resort,43040.4,13932.4,32513.2,29108.0,10527.2,67.63,24.46,Significantly Overpriced,Significantly Overpriced
Ramada By Wyndham İzmir Aliağa,13785.4,9851.6,13829.9,3933.7999999999993,-44.5,28.54,0.32,Significantly Overpriced,Fair
Salinas Wooden Houses,6400.0,9050.2,8890.4,-2650.2000000000007,-2490.3999999999996,41.41,38.91,Significantly Overpriced,Significantly Overpriced
Wome Deluxe Hotel,29700.0,15838.1,26216.9,13861.9,3483.0999999999985,46.67,11.73,Significantly Overpriced,Overpriced
Özlem Garden Hotel,5672.8,12223.3,7813.4,-6550.499999999999,-2140.5999999999995,115.47,37.73,Significantly Overpriced,Significantly Overpriced
Notion Kesre Beach Hotel Spa,17570.5,13758.2,16717.5,3812.2999999999993,853.0,21.7,4.85,Significantly Overpriced,Fair
Aurasia Deluxe Hotel,7688.5,12852.2,8380.8,-5163.700000000001,-692.2999999999993,67.16,9.0,Significantly Overpriced,Slight Overpriced
May Park Hotel,6588.2,12042.9,8944.8,-5454.7,-2356.5999999999995,82.79,35.77,Significantly Overpriced,Significantly Overpriced
Mb City Hotel,7925.2,12114.6,10753.8,-4189.400000000001,-2828.5999999999995,52.86,35.69,Significantly Overpriced,Significantly Overpriced
Dragut Point North Hotel,7468.4,12533.2,9169.7,-5064.800000000001,-1701.300000000001,67.82,22.78,Significantly Overpriced,Significantly Overpriced
Champion Holiday Village,30240.0,14115.0,27788.3,16125.0,2451.7000000000007,53.32,8.11,Significantly Overpriced,Slight Overpriced
Ramada Hotel Suites İzmir Kemalpaşa,12806.4,9005.4,13672.6,3801.0,-866.2000000000007,29.68,6.76,Significantly Overpriced,Slight Overpriced
Yasmin Bodrum Resort,13323.1,14452.3,21256.3,-1129.199999999999,-7933.199999999999,8.48,59.54,Slight Overpriced,Significantly Overpriced
Sea View Otel,16680.0,13587.0,17557.1,3093.0,-877.0999999999985,18.54,5.26,Overpriced,Slight Overpriced
Xanadu Island Bodrum,23538.0,15372.5,23564.2,8165.5,-26.200000000000728,34.69,0.11,Significantly Overpriced,Fair
Limak Atlantis Deluxe Hotel Resort,15849.6,15849.5,20233.4,0.1000000000003638,-4383.800000000001,0.0,27.66,Fair,Significantly Overpriced
Reis Maris Hotel,4727.3,10891.3,6313.9,-6163.999999999999,-1586.5999999999995,130.39,33.56,Significantly Overpriced,Significantly Overpriced
Serez Otel Alaçatı By La Mira,8500.0,8500.0,9029.5,0.0,-529.5,0.0,6.23,Fair,Slight Overpriced
Flora Bodrum Hotel,9000.0,11537.8,9132.1,-2537.7999999999993,-132.10000000000036,28.2,1.47,Significantly Overpriced,Fair
Selimhan Otel Selimiye,15292.0,12834.3,13031.8,2457.7000000000007,2260.2000000000007,16.07,14.78,Overpriced,Overpriced
Pirate`s Beach Club,20790.0,15114.3,23029.3,5675.700000000001,-2239.2999999999993,27.3,10.77,Significantly Overpriced,Overpriced
Ramitos Hotel Turunç,19576.8,10234.8,16723.1,9342.0,2853.7000000000007,47.72,14.58,Significantly Overpriced,Overpriced
Mio Mare Resort,7870.9,12940.9,16060.0,-5070.0,-8189.1,64.41,104.04,Significantly Overpriced,Significantly Overpriced
Side Erenler Hotel,9000.0,11371.6,9350.8,-2371.6000000000004,-350.7999999999993,26.35,3.9,Significantly Overpriced,Fair
Club Paradiso,27900.0,13465.3,36572.5,14434.7,-8672.5,51.74,31.08,Significantly Overpriced,Significantly Overpriced
Relax Beach Hotel,15300.0,12964.2,14692.8,2335.7999999999993,607.2000000000007,15.27,3.97,Overpriced,Fair
Limak Lara Deluxe Hotel Resort,18707.2,16333.3,24243.7,2373.9000000000015,-5536.5,12.69,29.6,Overpriced,Significantly Overpriced
Adalya Resort Spa Adults Only,29907.3,15374.4,26272.1,14532.9,3635.2000000000007,48.59,12.15,Significantly Overpriced,Overpriced
Side Güneş Pansiyon,6210.0,11000.1,16054.6,-4790.1,-9844.6,77.14,158.53,Significantly Overpriced,Significantly Overpriced
Club Side Coast Hotel,29440.0,12980.9,23145.1,16459.1,6294.9000000000015,55.91,21.38,Significantly Overpriced,Significantly Overpriced
Rammos Managed By Dedeman,17660.6,12913.9,16412.1,4746.699999999999,1248.5,26.88,7.07,Significantly Overpriced,Slight Overpriced
Xanadu Resort Hotel,26573.4,16378.0,26592.7,10195.400000000001,-19.299999999999272,38.37,0.07,Significantly Overpriced,Fair
Bitez Garden Life,9294.0,13338.9,10098.2,-4044.8999999999996,-804.2000000000007,43.52,8.65,Significantly Overpriced,Slight Overpriced
Signature Alaçatı,15651.0,8561.2,13291.9,7089.799999999999,2359.1000000000004,45.3,15.07,Significantly Overpriced,Overpriced
Naturella Apart Hotel,34187.5,8701.6,25551.0,25485.9,8636.5,74.55,25.26,Significantly Overpriced,Significantly Overpriced
Sealine Suite Hotel,12240.0,12373.0,12134.1,-133.0,105.89999999999964,1.09,0.87,Fair,Fair
Altis Resort Hotel Spa,27600.0,13047.6,22878.5,14552.4,4721.5,52.73,17.11,Significantly Overpriced,Overpriced
Limak Limra Hotel Resort,21000.0,16089.6,21783.8,4910.4,-783.7999999999993,23.38,3.73,Significantly Overpriced,Fair
Regulus Gümbet Beach Resort,7102.0,11621.9,7897.8,-4519.9,-795.8000000000002,63.64,11.21,Significantly Overpriced,Overpriced
Commodore Elite Suites Spa,33840.0,12916.0,28730.4,20924.0,5109.5999999999985,61.83,15.1,Significantly Overpriced,Overpriced
Astoria Beach Hotel,4656.9,11920.5,6432.7,-7263.6,-1775.8000000000002,155.98,38.13,Significantly Overpriced,Significantly Overpriced
Port Nature Luxury Resort Hotel Spa,24144.0,16828.8,24075.1,7315.200000000001,68.90000000000146,30.3,0.29,Significantly Overpriced,Fair
Beach Club Doğanay,16976.4,14239.6,23300.0,2736.800000000001,-6323.5999999999985,16.12,37.25,Overpriced,Significantly Overpriced
Lonicera Resort Spa Hotel,14560.0,17463.2,17139.2,-2903.2000000000007,-2579.2000000000007,19.94,17.71,Overpriced,Overpriced
Side Beach Club,10276.0,10704.8,11684.5,-428.7999999999993,-1408.5,4.17,13.71,Fair,Overpriced
Rich Melissa Hotel,7752.0,8618.2,8194.6,-866.2000000000007,-442.60000000000036,11.17,5.71,Overpriced,Slight Overpriced
Selin Otel Spa Belek,6017.9,11660.6,11416.0,-5642.700000000001,-5398.1,93.77,89.7,Significantly Overpriced,Significantly Overpriced
Kolibri Hotel,6967.2,12203.2,8049.5,-5236.000000000001,-1082.3000000000002,75.15,15.53,Significantly Overpriced,Overpriced
Diamond Hill Resort,12960.0,13723.5,16545.6,-763.5,-3585.5999999999985,5.89,27.67,Slight Overpriced,Significantly Overpriced
Cornelia De Luxe Resort,32640.0,13820.4,30250.1,18819.6,2389.9000000000015,57.66,7.32,Significantly Overpriced,Slight Overpriced
Malibu Resort Hotel,4171.2,11093.4,5912.3,-6922.2,-1741.1000000000004,165.95,41.74,Significantly Overpriced,Significantly Overpriced
Elementa Boutique Hotel,17400.0,11511.7,15712.1,5888.299999999999,1687.8999999999996,33.84,9.7,Significantly Overpriced,Slight Overpriced
Hedef Beach Resort Spa,11400.0,14171.5,14189.8,-2771.5,-2789.7999999999993,24.31,24.47,Significantly Overpriced,Significantly Overpriced
Smart City Bodrum,4952.5,11093.0,12580.0,-6140.5,-7627.5,123.99,154.01,Significantly Overpriced,Significantly Overpriced
Lrs Lake River Side Hotel Spa,15600.0,10974.6,17975.2,4625.4,-2375.2000000000007,29.65,15.23,Significantly Overpriced,Overpriced
Silver Hotel,8268.8,10287.3,9497.1,-2018.5,-1228.300000000001,24.41,14.85,Significantly Overpriced,Overpriced
