otel_ad,fiyat,Predicted Price (Average),Price Difference,Fair Price Percentage,Fair Price Range
Tui Blue Pascha Bay,16632.0,18215.8,-1583.8,9.52,Slight Overpriced
Antique Roman Palace +16,11550.0,13001.9,-1451.9,12.57,Overpriced
Nills Stone House Otel,28920.3,13001.9,15918.4,55.04,Significantly Overpriced
Neva Hotel Alaçatı,10431.0,13001.9,-2570.9,24.65,Significantly Overpriced
Nilus Butik Otel,5700.0,10373.4,-4673.4,81.99,Significantly Overpriced
Lupo Libero Hotel Spa,9830.6,12091.3,-2260.7,23.0,Significantly Overpriced
Haydarpasha Palace,18900.0,24628.9,-5728.9,30.31,Significantly Overpriced
Meriç Hotel Turunç,7481.2,10733.9,-3252.7,43.48,Significantly Overpriced
Alaiye Resort Spa,15744.0,20410.1,-4666.1,29.64,Significantly Overpriced
Astoria Hotel,11186.0,14795.0,-3609.0,32.26,Significantly Overpriced
Marbas Select Beach,3752.0,12961.3,-9209.3,245.45,Significantly Overpriced
Kahya Resort Aqua Spa,23680.0,20671.5,3008.5,12.7,Overpriced
Sentido Kamelya Fulya Hotel,33526.6,29635.3,3891.3,11.61,Overpriced
Nixie Hotel Beach Yalıkavak - Adult Only,8550.9,16141.0,-7590.1,88.76,Significantly Overpriced
Şah Inn Paradise,28000.0,23428.6,4571.4,16.33,Overpriced
Celeste Bella Luxury Hotel Spa,14257.2,13555.9,701.3,4.92,Fair
Aletris Deluxe Hotel Spa,28124.0,18257.4,9866.6,35.08,Significantly Overpriced
The Marmara Bodrum,27827.8,16381.2,11446.6,41.13,Significantly Overpriced
Tui Magic Life Bodrum +16 Adult Only,26573.4,13001.9,13571.5,51.07,Significantly Overpriced
Kempinski Hotel Barbaros Bay,47376.0,24015.8,23360.2,49.31,Significantly Overpriced
Hillstone Bodrum Hotel Spa,32400.0,16411.4,15988.6,49.35,Significantly Overpriced
Sentido Kamelya Selin Hotel,36708.0,27512.3,9195.7,25.05,Significantly Overpriced
Marin Hotel Kemer,4500.0,8892.8,-4392.8,97.62,Significantly Overpriced
No81 Hotel,12800.0,17026.4,-4226.4,33.02,Significantly Overpriced
Monte Carlo Hotel,10260.0,11534.5,-1274.5,12.42,Overpriced
Odette Bodrum,15000.0,11494.4,3505.6,23.37,Significantly Overpriced
Munamar Park Otel,7335.5,9232.3,-1896.8,25.86,Significantly Overpriced
Olympos Forest House Hotel,14400.0,9891.8,4508.2,31.31,Significantly Overpriced
Aqı Pegasos Royal,20202.0,18107.9,2094.1,10.37,Overpriced
Hoşça Kal Alaçatı,11000.0,10707.4,292.6,2.66,Fair
Maris Beach Hotel,7247.0,8306.4,-1059.4,14.62,Overpriced
Kimeros Park Holiday Village,26784.0,21546.0,5238.0,19.56,Overpriced
Club Mermaid Village,10475.5,18614.4,-8138.9,77.69,Significantly Overpriced
Sentido Trendy Verbena Beach,26400.0,23553.5,2846.5,10.78,Overpriced
Hotel Melas Lara,21420.0,17791.9,3628.1,16.94,Overpriced
Sesin Hotel,5280.0,10703.3,-5423.3,102.71,Significantly Overpriced
Venosa Beach Resort,20160.0,24397.7,-4237.7,21.02,Significantly Overpriced
Orange County Alanya,13650.0,22399.8,-8749.8,64.1,Significantly Overpriced
Mert Seaside Hotel,6960.0,11185.1,-4225.1,60.71,Significantly Overpriced
My Dream Hotel,6120.0,7353.1,-1233.1,20.15,Significantly Overpriced
Kirman Arycanda De Luxe,26392.5,23446.3,2946.2,11.16,Overpriced
Armonia Holiday Village Spa,9578.8,16729.5,-7150.7,74.65,Significantly Overpriced
La Perla Hotel Kemer,11917.1,10179.4,1737.7,14.58,Overpriced
Side Premium Hotel,35820.0,23510.5,12309.5,34.36,Significantly Overpriced
Oscar Garden Hotel,7560.0,9796.3,-2236.3,29.58,Significantly Overpriced
Martı Hemithea Hotel,41368.1,24431.3,16936.8,40.94,Significantly Overpriced
Mirage World Hotel,13177.2,15914.6,-2737.4,20.77,Significantly Overpriced
Miramor Garden Resort,11526.0,10034.3,1491.7,12.94,Overpriced
Nex Royal Beach Hotel,9065.0,8566.6,498.4,5.5,Slight Overpriced
Aydınbey Gold Dreams Hotel,186300.0,47507.8,138792.2,74.5,Significantly Overpriced
Otel Safran Palas,9693.8,9935.8,-242.0,2.5,Fair
Side Royal Style,22199.8,13531.0,8668.8,39.05,Significantly Overpriced
Mivara Luxury Resort Spa,28885.6,24146.6,4739.0,16.41,Overpriced
Otel Gümüşlük,11848.9,10867.8,981.1,8.28,Slight Overpriced
Kleopatra İkiz Otel,5283.5,8355.3,-3071.8,58.14,Significantly Overpriced
Old Town Point Hotel,8150.8,11121.6,-2970.8,36.45,Significantly Overpriced
Ni Marin Hotel,14599.2,16303.4,-1704.2,11.67,Overpriced
Olive Tree Hotel,14400.0,14739.2,-339.2,2.36,Fair
Otto Palace Boutique Hotel,8277.6,10905.2,-2627.6,31.74,Significantly Overpriced
Park Ulusoy Hotel,8184.9,13001.9,-4817.0,58.85,Significantly Overpriced
Museum Resort Spa,5700.0,5996.1,-296.1,5.19,Slight Overpriced
Aydınbey Queen`s Palace Hotel,23120.0,18502.9,4617.1,19.97,Overpriced
Larissa Sultans Beach Hotel,8976.0,13998.7,-5022.7,55.96,Significantly Overpriced
Kirman Calyptus Resort Spa,23922.8,20754.6,3168.2,13.24,Overpriced
Ramada Resort Bodrum,22110.0,13715.7,8394.3,37.97,Significantly Overpriced
Miranda Moral Beach Hotel,20659.2,10380.5,10278.7,49.75,Significantly Overpriced
Morino Alaçatı,38400.0,16962.5,21437.5,55.83,Significantly Overpriced
Mira Su Hotel,4866.4,9413.0,-4546.6,93.43,Significantly Overpriced
Sirius Deluxe Hotel,20160.0,19236.7,923.3,4.58,Fair
Payava Hotel By True Blue,23400.4,15674.1,7726.3,33.02,Significantly Overpriced
Meryem Ana,28800.0,13166.7,15633.3,54.28,Significantly Overpriced
More Hotel,6238.0,8755.7,-2517.7,40.36,Significantly Overpriced
My Dream Alaçatı,18000.0,13505.1,4494.9,24.97,Significantly Overpriced
White City Resort Spa,18647.5,25150.7,-6503.2,34.87,Significantly Overpriced
Mustis Royal Plaza Hotel,12000.0,11771.4,228.6,1.9,Fair
Belconti Resort Hotel,21234.2,22280.4,-1046.2,4.93,Fair
Kirman Sidemarin Beach Spa,26392.5,23280.7,3111.8,11.79,Overpriced
Route Hotel Adult Only +12,12513.6,13001.9,-488.3,3.9,Fair
Premier Nergis Beach,16392.4,16543.9,-151.5,0.92,Fair
Mysea Hotels Alara,12797.6,13618.4,-820.8,6.41,Slight Overpriced
Ramiz Alaçatı,8000.0,10380.5,-2380.5,29.76,Significantly Overpriced
Mylome Luxury Hotel Resort,27907.2,24803.0,3104.2,11.12,Overpriced
Pure Blanche,19370.8,12059.4,7311.4,37.74,Significantly Overpriced
Rayana Hotel,9044.0,11996.3,-2952.3,32.64,Significantly Overpriced
Ramona Hotel,6594.6,8152.3,-1557.7,23.62,Significantly Overpriced
Rose Garden Butik,7786.2,9800.9,-2014.7,25.88,Significantly Overpriced
Bijal Hotel,13920.0,15280.9,-1360.9,9.78,Slight Overpriced
Bera Hotel Alanya,9240.0,17364.4,-8124.4,87.93,Significantly Overpriced
Myra Hotel,9431.5,8688.6,742.9,7.88,Slight Overpriced
Saphir Resort Spa,24200.0,22368.0,1832.0,7.57,Slight Overpriced
Side Su Hotel,8210.5,17248.3,-9037.8,110.08,Significantly Overpriced
Ege Palas Business Hotel,13484.3,14921.3,-1437.0,10.66,Overpriced
Kirman Sidera Luxury Spa,27000.0,24979.4,2020.6,7.48,Slight Overpriced
Vonresort Elite,32800.0,24583.7,8216.3,25.05,Significantly Overpriced
Quadas Hotel,11880.0,15609.7,-3729.7,31.39,Significantly Overpriced
Nirvana Cosmopolitan Hotel,39511.8,23756.9,15754.9,39.87,Significantly Overpriced
Royal Hayat Hotel,12000.0,11087.7,912.3,7.6,Slight Overpriced
Salbakos Herakleia Boutique Hotel,20000.0,10271.2,9728.8,48.64,Significantly Overpriced
Wind Of Lara Hotel Spa,24684.8,17581.7,7103.1,28.78,Significantly Overpriced
Laguna Beach Alya Resort Spa,17486.4,14859.0,2627.4,15.03,Overpriced
Boyalık Beach Hotel Spa Thermal Resort,43040.4,23797.5,19242.9,44.71,Significantly Overpriced
Ramada By Wyndham İzmir Aliağa,13785.4,14500.4,-715.0,5.19,Slight Overpriced
Salinas Wooden Houses,6400.0,9779.1,-3379.1,52.8,Significantly Overpriced
Wome Deluxe Hotel,29700.0,20452.7,9247.3,31.14,Significantly Overpriced
Özlem Garden Hotel,5672.8,9723.1,-4050.3,71.4,Significantly Overpriced
Notion Kesre Beach Hotel Spa,17570.5,17991.5,-421.0,2.4,Fair
Aurasia Deluxe Hotel,7688.5,10750.0,-3061.5,39.82,Significantly Overpriced
May Park Hotel,6588.2,11494.1,-4905.9,74.46,Significantly Overpriced
Mb City Hotel,7925.2,13296.4,-5371.2,67.77,Significantly Overpriced
Dragut Point North Hotel,7468.4,13923.6,-6455.2,86.43,Significantly Overpriced
Champion Holiday Village,30240.0,22274.8,7965.2,26.34,Significantly Overpriced
Ramada Hotel Suites İzmir Kemalpaşa,12806.4,13129.5,-323.1,2.52,Fair
Yasmin Bodrum Resort,13323.1,18754.6,-5431.5,40.77,Significantly Overpriced
Sea View Otel,16680.0,15464.5,1215.5,7.29,Slight Overpriced
Xanadu Island Bodrum,23538.0,24409.1,-871.1,3.7,Fair
Limak Atlantis Deluxe Hotel Resort,15849.6,25368.5,-9518.9,60.06,Significantly Overpriced
Reis Maris Hotel,4727.3,10001.5,-5274.2,111.57,Significantly Overpriced
Serez Otel Alaçatı By La Mira,8500.0,10591.2,-2091.2,24.6,Significantly Overpriced
Flora Bodrum Hotel,9000.0,9710.1,-710.1,7.89,Slight Overpriced
Selimhan Otel Selimiye,15292.0,15259.6,32.4,0.21,Fair
Pirate`s Beach Club,20790.0,24495.1,-3705.1,17.82,Overpriced
Ramitos Hotel Turunç,19576.8,13571.6,6005.2,30.68,Significantly Overpriced
Mio Mare Resort,7870.9,13085.7,-5214.8,66.25,Significantly Overpriced
Side Erenler Hotel,9000.0,12114.8,-3114.8,34.61,Significantly Overpriced
Club Paradiso,27900.0,22008.0,5892.0,21.12,Significantly Overpriced
Relax Beach Hotel,15300.0,12555.3,2744.7,17.94,Overpriced
Limak Lara Deluxe Hotel Resort,18707.2,27407.3,-8700.1,46.51,Significantly Overpriced
Adalya Resort Spa Adults Only,29907.3,21755.4,8151.9,27.26,Significantly Overpriced
Side Güneş Pansiyon,6210.0,13001.9,-6791.9,109.37,Significantly Overpriced
Club Side Coast Hotel,29440.0,17600.5,11839.5,40.22,Significantly Overpriced
Rammos Managed By Dedeman,17660.6,18094.7,-434.1,2.46,Fair
Xanadu Resort Hotel,26573.4,24316.5,2256.9,8.49,Slight Overpriced
Bitez Garden Life,9294.0,14454.1,-5160.1,55.52,Significantly Overpriced
Signature Alaçatı,15651.0,11920.0,3731.0,23.84,Significantly Overpriced
Naturella Apart Hotel,34187.5,13869.3,20318.2,59.43,Significantly Overpriced
Sealine Suite Hotel,12240.0,13932.6,-1692.6,13.83,Overpriced
Altis Resort Hotel Spa,27600.0,18028.5,9571.5,34.68,Significantly Overpriced
Limak Limra Hotel Resort,21000.0,24049.1,-3049.1,14.52,Overpriced
Regulus Gümbet Beach Resort,7102.0,11690.7,-4588.7,64.61,Significantly Overpriced
Commodore Elite Suites Spa,33840.0,18652.9,15187.1,44.88,Significantly Overpriced
Astoria Beach Hotel,4656.9,9874.8,-5217.9,112.05,Significantly Overpriced
Port Nature Luxury Resort Hotel Spa,24144.0,25793.3,-1649.3,6.83,Slight Overpriced
Beach Club Doğanay,16976.4,23306.4,-6330.0,37.29,Significantly Overpriced
Lonicera Resort Spa Hotel,14560.0,22920.5,-8360.5,57.42,Significantly Overpriced
Side Beach Club,10276.0,11248.1,-972.1,9.46,Slight Overpriced
Rich Melissa Hotel,7752.0,5468.3,2283.7,29.46,Significantly Overpriced
Selin Otel Spa Belek,6017.9,10158.2,-4140.3,68.8,Significantly Overpriced
Kolibri Hotel,6967.2,11555.5,-4588.3,65.86,Significantly Overpriced
Diamond Hill Resort,12960.0,17210.8,-4250.8,32.8,Significantly Overpriced
Cornelia De Luxe Resort,32640.0,26498.0,6142.0,18.82,Overpriced
Malibu Resort Hotel,4171.2,8267.6,-4096.4,98.21,Significantly Overpriced
Elementa Boutique Hotel,17400.0,13625.0,3775.0,21.7,Significantly Overpriced
Hedef Beach Resort Spa,11400.0,17861.7,-6461.7,56.68,Significantly Overpriced
Smart City Bodrum,4952.5,11924.2,-6971.7,140.77,Significantly Overpriced
Lrs Lake River Side Hotel Spa,15600.0,16184.8,-584.8,3.75,Fair
Silver Hotel,8268.8,9109.7,-840.9,10.17,Overpriced
Olimpos Beach Hotel By Rrhr,10500.0,13059.5,-2559.5,24.38,Significantly Overpriced
Sisyphos Hotel Patara,5100.0,10788.0,-5688.0,111.53,Significantly Overpriced
Side Amour Hotel,9750.0,11288.7,-1538.7,15.78,Overpriced
Siesta Beach Apart Hotel,7920.0,12306.2,-4386.2,55.38,Significantly Overpriced
Romance Beach Hotel,13230.0,10898.9,2331.1,17.62,Overpriced
Sofa Kaleiçi,12495.0,13001.9,-506.9,4.06,Fair
Hedef Resort Hotel Spa,10200.0,17950.9,-7750.9,75.99,Significantly Overpriced
Porto Bello Hotel Resort Spa,21600.0,17852.3,3747.7,17.35,Overpriced
Lrs Port River Hotel Spa,15951.0,18067.7,-2116.7,13.27,Overpriced
Crystal Admiral Resort Suites Spa,37440.0,27649.8,9790.2,26.15,Significantly Overpriced
Sirene Luxury Bodrum,39281.0,25846.5,13434.5,34.2,Significantly Overpriced
Solis Beach Hotel,3400.0,10047.4,-6647.4,195.51,Significantly Overpriced
Sunrise Queen Luxury Resort Spa,27404.0,24883.4,2520.6,9.2,Slight Overpriced
Spilos Gümüldür Hotel,4312.0,9560.9,-5248.9,121.73,Significantly Overpriced
Sun Arzum Bungalow,7360.0,7109.7,250.3,3.4,Fair
Soliport Hotel Spa Alaçatı,18360.0,15196.7,3163.3,17.23,Overpriced
Surga Alaçatı,26432.0,12584.6,13847.4,52.39,Significantly Overpriced
Suite Laguna Otel,20904.6,7173.8,13730.8,65.68,Significantly Overpriced
Holiday Park Resort Hotel,15300.0,15966.1,-666.1,4.35,Fair
Orange County Kemer,13650.0,21908.2,-8258.2,60.5,Significantly Overpriced
Luna Blanca Resort Spa,22933.0,19387.9,3545.1,15.46,Overpriced
Crystal De Luxe Resort Spa,31200.0,24818.6,6381.4,20.45,Significantly Overpriced
Marvida Family Eco (Ex. Otium Family Eco Club),40096.0,13001.9,27094.1,67.57,Significantly Overpriced
Radisson Blu Resort Spa Çeşme,43608.0,24160.7,19447.3,44.6,Significantly Overpriced
Summer Rose Hotel,4915.2,7907.8,-2992.6,60.88,Significantly Overpriced
Glamour Resort Spa,15377.5,16906.4,-1528.9,9.94,Slight Overpriced
Casa Nonna Bodrum,65696.3,25673.4,40022.9,60.92,Significantly Overpriced
Şenyıldız Hotel,15000.0,14248.3,751.7,5.01,Slight Overpriced
Sunny Hill Alya Hotel,12540.9,12209.4,331.5,2.64,Fair
Anjeliq Downtown Boutique Hotel,4860.0,13308.4,-8448.4,173.84,Significantly Overpriced
Crystal Family Resort Spa,28500.0,26566.6,1933.4,6.78,Slight Overpriced
Rixos Downtown Antalya,34048.0,20263.8,13784.2,40.48,Significantly Overpriced
Sunpoint Hotel Bodrum,6600.0,8385.4,-1785.4,27.05,Significantly Overpriced
Kırbıyık Resort Hotel,14600.0,23963.2,-9363.2,64.13,Significantly Overpriced
Mediterra Art Hotel,10511.4,8626.4,1885.0,17.93,Overpriced
Surla Hotel,10500.0,11949.8,-1449.8,13.81,Overpriced
Güler Butik Hotel,3228.0,18989.7,-15761.7,488.28,Significantly Overpriced
Orange County Belek,20160.0,18294.7,1865.3,9.25,Slight Overpriced
İzmir Marriott,27057.8,17964.9,9092.9,33.61,Significantly Overpriced
Surya Butik Hotel,22400.0,12621.6,9778.4,43.65,Significantly Overpriced
Meridia Beach Hotel,19400.0,19516.1,-116.1,0.6,Fair
Crystal Palace Luxury Resort Spa,9008.4,21804.4,-12796.0,142.05,Significantly Overpriced
Club Hotel Barbarossa Kaş,16957.5,14541.6,2415.9,14.25,Overpriced
Swan Boutique Hotel +12,12179.9,13001.9,-822.0,6.75,Slight Overpriced
Lonicera Premium Hotel,12941.1,12739.1,202.0,1.56,Fair
Tal Beach Hotel,4710.2,13001.9,-8291.7,176.04,Significantly Overpriced
Robinson Club Pamfilya,39155.2,23311.5,15843.7,40.46,Significantly Overpriced
Cotton Boutique Hotel,8994.2,10337.7,-1343.5,14.94,Overpriced
Şavk Hotel,9000.0,14310.2,-5310.2,59.0,Significantly Overpriced
Ege Tulip Çeşme Deluxe Hotel,8092.0,8515.3,-423.3,5.23,Slight Overpriced
The Abc Hotel,15729.6,10380.5,5349.1,34.01,Significantly Overpriced
Robinson Çamyuva,19140.0,23202.1,-4062.1,21.22,Significantly Overpriced
Şirince Klaseas Hotel,22000.0,10862.3,11137.7,50.63,Significantly Overpriced
Crystal Prestige Elite,18720.0,21597.5,-2877.5,15.37,Overpriced
Meryan Beach Hotel Spa,22120.0,20446.6,1673.4,7.57,Slight Overpriced
The Beachfront Hotel,20088.0,13957.1,6130.9,30.52,Significantly Overpriced
Temple Hotel,4586.4,9244.3,-4657.9,101.56,Significantly Overpriced
Klas More Beach Hotel,12000.0,10787.9,1212.1,10.1,Overpriced
The Yalı Konak Hotel İzmir,10857.6,12786.9,-1929.3,17.77,Overpriced
The Hello Hotel,7088.6,10227.0,-3138.4,44.27,Significantly Overpriced
Tangiers Hotel Yalıkavak,10500.0,12077.8,-1577.8,15.03,Overpriced
Golden Key Bördübet,15000.0,19073.4,-4073.4,27.16,Significantly Overpriced
The Rest Port Argento,23895.9,12486.8,11409.1,47.75,Significantly Overpriced
Saylam Suites,28480.0,12241.4,16238.6,57.02,Significantly Overpriced
The New Zeybek Hotel,5283.5,7799.0,-2515.5,47.61,Significantly Overpriced
Mirada Del Mar,35280.0,27923.7,7356.3,20.85,Significantly Overpriced
Villa Rustica Hotel,18000.0,11045.9,6954.1,38.63,Significantly Overpriced
Crystal Sunset Luxury,55440.0,30315.5,25124.5,45.32,Significantly Overpriced
Seven Seas Hotel Blue,21000.0,21461.0,-461.0,2.2,Fair
Provence Mansion Alaçatı,11000.0,13429.7,-2429.7,22.09,Significantly Overpriced
Royal Atlantis Spa Resort,30450.0,23908.0,6542.0,21.48,Significantly Overpriced
Port Side Resort Hotel,24912.3,17009.4,7902.9,31.72,Significantly Overpriced
The Xon Hotel Çeşme,23400.0,12777.3,10622.7,45.4,Significantly Overpriced
Tiny Town Kuyucak,16450.0,13401.1,3048.9,18.53,Overpriced
Upperhouse Boutique Hotel,9200.0,17548.4,-8348.4,90.74,Significantly Overpriced
Toll Garden,9300.0,13577.9,-4277.9,46.0,Significantly Overpriced
Side Royal Palace Hotel Spa,29907.6,20645.9,9261.7,30.97,Significantly Overpriced
Crystal Waterworld Resort Spa,28050.0,34551.3,-6501.3,23.18,Significantly Overpriced
Tui Blue Angora Beach,19719.9,18010.2,1709.7,8.67,Slight Overpriced
Nirvana Mediterranean Excellence,11137.5,42685.4,-31547.9,283.26,Significantly Overpriced
Wasa Hotel,8721.0,6264.8,2456.2,28.16,Significantly Overpriced
Kosa Otel Çeşme,8500.0,8985.7,-485.7,5.71,Slight Overpriced
Radisson Collection Bodrum,27572.0,27102.2,469.8,1.7,Fair
Royal Holiday Palace,30450.0,25846.6,4603.4,15.12,Overpriced
Zeybek Beach Hotel,3853.3,10775.8,-6922.5,179.65,Significantly Overpriced
Ramada By Wyndham Tire,14000.0,14732.7,-732.7,5.23,Slight Overpriced
Zeynel Hotel,8700.0,8329.7,370.3,4.26,Fair
Alaçatı Bellezza Hotel,8128.4,10920.6,-2792.2,34.35,Significantly Overpriced
Anjeliq House Boutique Hotel,12524.4,15134.2,-2609.8,20.84,Significantly Overpriced
Toscana Garden Bungalov,10800.0,11331.3,-531.3,4.92,Fair
Raymar Resort Aqua,13440.0,21001.1,-7561.1,56.26,Significantly Overpriced
Side Star Beach,22704.0,18721.6,3982.4,17.54,Overpriced
Sorgun Akadia Hotel Luxury Resort Adult Only+16,31320.0,13001.9,18318.1,58.49,Significantly Overpriced
Alaçatı Aura Plus Otel,9899.9,9870.4,29.5,0.3,Fair
Atalla Otel,5942.8,6329.6,-386.8,6.51,Slight Overpriced
Kaftans City Hotel By Rrhr,5037.8,8353.7,-3315.9,65.82,Significantly Overpriced
Cumbalıca Garden Hotel,28671.7,15636.2,13035.5,45.46,Significantly Overpriced
Best Western Plus Konak,11400.0,10738.7,661.3,5.8,Slight Overpriced
Mekvin Hotels Deniz Feneri Lighthouse +12 Adults Only,9523.8,13001.9,-3478.1,36.52,Significantly Overpriced
Riolavitas Resort Spa,13455.0,14186.5,-731.5,5.44,Slight Overpriced
Asrın Beach Hotel,8861.4,15522.5,-6661.1,75.17,Significantly Overpriced
Crystal Boutique Beach Resort,14657.7,22649.5,-7991.8,54.52,Significantly Overpriced
True Blue Boutique Hotel,21159.1,15632.5,5526.6,26.12,Significantly Overpriced
Muup Alaçatı,12000.0,12771.5,-771.5,6.43,Slight Overpriced
Seashell Vega,30536.4,12284.2,18252.2,59.77,Significantly Overpriced
Side Sunport Hotel Spa (Ex. Side Sungate),19207.2,13001.9,6205.3,32.31,Significantly Overpriced
Numa Port Hotel,12400.0,13687.5,-1287.5,10.38,Overpriced
Fortuna Beach,6173.5,9702.9,-3529.4,57.17,Significantly Overpriced
Royal Seginus Hotel,33180.0,29239.8,3940.2,11.88,Overpriced
Villa Side Hotel,21000.0,15203.2,5796.8,27.6,Significantly Overpriced
Aurora Sığacık Hotel,4176.0,10380.5,-6204.5,148.58,Significantly Overpriced
Aura Village Alaçatı,7200.0,11861.7,-4661.7,64.75,Significantly Overpriced
Regia Mare Beach Hotel Bodrum,13440.0,12548.7,891.3,6.63,Slight Overpriced
Vonresort Golden Beach,28000.0,23538.6,4461.4,15.93,Overpriced
Sarp Hotels Kadriye,4400.0,7952.1,-3552.1,80.73,Significantly Overpriced
Club Hotel Rama,12168.0,13175.5,-1007.5,8.28,Slight Overpriced
Un Amor Hotel +16 Adults Only,11000.0,13001.9,-2001.9,18.2,Overpriced
Rizom Beach Hotel Kumluca,8640.0,14961.8,-6321.8,73.17,Significantly Overpriced
The Raga Side Hotel,10485.9,17945.3,-7459.4,71.14,Significantly Overpriced
The D Hotel Ceşme Spa Resort,15915.0,11195.8,4719.2,29.65,Significantly Overpriced
The Local House Alaçatı,14466.6,16790.4,-2323.8,16.06,Overpriced
Türkay Hotel,9000.0,9505.7,-505.7,5.62,Slight Overpriced
Send Apart Hotel,4000.0,8425.9,-4425.9,110.65,Significantly Overpriced
Via Perla Butik Otel,8010.0,12069.2,-4059.2,50.68,Significantly Overpriced
Lonicera World Hotel,8160.0,22170.0,-14010.0,171.69,Significantly Overpriced
Elamir Resort Hotel,11700.0,15136.6,-3436.6,29.37,Significantly Overpriced
Elite World Marmaris (+16),17640.0,13001.9,4638.1,26.29,Significantly Overpriced
Royal Wings Hotel,8400.0,23674.3,-15274.3,181.84,Significantly Overpriced
Rox Royal Hotel,17529.7,14114.2,3415.5,19.48,Overpriced
Yalıhan Una Hotel,17064.0,16638.4,425.6,2.49,Fair
Ambassador Plaza Hotel	,13817.7,13001.9,815.8,5.9,Slight Overpriced
Nasa Flora Otel,7883.5,10166.9,-2283.4,28.96,Significantly Overpriced
Viento Hotel Alaçatı,22800.0,12672.8,10127.2,44.42,Significantly Overpriced
Magna Manastır Suıt Hotel,19635.0,11749.5,7885.5,40.16,Significantly Overpriced
Meis Exclusive Hotel,26460.0,17052.0,9408.0,35.56,Significantly Overpriced
Ag Hotels Antalya,7012.4,8565.8,-1553.4,22.15,Significantly Overpriced
