id,otel_id,otel_ad,yorum,opion,score
24,200,Galeri Resort Hotel,"Otel konum olarak merkezden kismen uzak olsa da sahil seridi cok guzeldi, yemekler enfes, alkol ve icecekler guvenilir ve lezzetli. Havuzlar yeterli ve eglenceli. Bebek ve aile dostu bir otel. Ihtiyac duyulan her sey var ve ortak kullanim alanlari hep yakin. Calisanlar cok sicak kanli ve yardimci idi. Ozellikle restoran sefimiz Ilknur hanim her zaman yardimci oldu ve guler yuzu ile bizi sicacik karsiladi. Tum otel calisanlarina bebegimiz ve bize yasattiklari guzel tatil icin tesekkur ediyoruz.",olumlu,0.9599108695983887
25,200,Galeri Resort Hotel,"Deniz aniden derinlesiyor ve dalgali, bu acidan bebekli ve kucuk cocuklu aileler icin denizde dikkatli olmak gerekiyor. Kaydiraklar kismen bakimsizdi diyebilirim. Odalarda temizlik sonrasi carsaf ve havlu degisimi icin ozellikle belirtmek gerekti birkac defa. Biraz eski olmasina ragmen cok guzel bakim yapilmis. Animasyon olarak biraz daha gelistirilebilecegini dusunuyorum.",olumlu,0.9481819272041321
26,200,Galeri Resort Hotel,"Bebekli aileler icin cok ideal. 3. Gelisimiz ikisi bebekle olmustu.Her sey elinin altinda. Yemekler cok iyi. Personel guler yuzlu ari gibi geziyolar surekli. Havuzlar temiz, yeterli. Deniz dalgali baya ama kenarda taslarla da oynadik az da olsa dalgasiz zamanda girdik bebekle denize.surekli bi organizasyon var gunduz gece surekli. Cocuklar icin de eglenceler var. Parki yeterli her gun gittik.Seneye tekrar gitmek istiyoruz bakalim insaallah ??",olumlu,0.9772628545761108
27,200,Galeri Resort Hotel,Yemek kalitesi ve cesitlilligi tatmin edici duzeyde. Personele 10 uzerinden 10 tamami guler yuzlu ve herseye kosturuyorlar.,olumlu,0.995844841003418
28,200,Galeri Resort Hotel,Deniz asiri dalgali otelin bu konuda yapacagi cok bisey yok belkide oteldeki tek zayif nokta bu.Odalar cok buyuk olmasada zaten oda da vakit gecirilmedigi icin hic onemli degil.,olumsuz,0.9031446576118469
29,1,Adalya Elite Lara,Otel konforu muhtesem,olumlu,0.9896003007888794
30,1,Adalya Elite Lara,"Genis bir alana kurulu, yemek cesitliligi yeterli, havuz sayisi ve temizligi yeterli, personel cok guler yuzlu, odalar temiz, yeni ve konforlu, denizi temiz, otelin her yerinde bar/yemek alani mevcut, restaurant kismi temiz ve hizmet hizli,",olumlu,0.992003858089447
31,1,Adalya Elite Lara,"Otel imkanlarina gore fiyati pahali, sezlong sayisi yetersiz, sabah erkenden sezlong tutmak gerekiyor, lunapark/waffle gibi hizmetlerin saat araligi cok kisa, animasyon gosterileri yetersiz,",olumsuz,0.9668484926223755
32,1,Adalya Elite Lara,Sessiz sakin Personel nazik ilgili Yemekler  Ickiler Havuz ve yemekhanede 18 yas ustu bolumunun olmasi cok iyi dusunulmus,olumlu,0.993807852268219
33,1,Adalya Elite Lara,Kapali havuz kapaliydi,olumlu,0.5720746517181396
34,1,Adalya Elite Lara,Guleryuzlu personel Aksamlari teras etkinligi Aktiviteler,olumlu,0.9816726446151733
35,1,Adalya Elite Lara,Cocuklu misafir coklugu Kalabalikligi Restoran havalandirmasi,olumlu,0.790917694568634
36,1,Adalya Elite Lara,Ilk defa geldik ve harika bir kis tatili deneyimi yasadik. Karsilama gayet nazik ve hizli oldu. Odamiz tertemiz genis ve rahatti. Mobilya ve banyo cok yeniydi. Yemekleri her ogunde bir harikaydi. Cogu otelde ac kalan biri olarak ilk defa lezzetli ve doyurucu yemekler yedim. Her ogunde olan pidelere ayri bir parantez acmaliyim ki enfestiler. Calisanlar cok nazik ve ilgililer. Surati asik kimse ile karsilasmadik ki bu oldukca ender rastlanan bir durumdur. Aksamlari etkinlikleri var. Sport kosesinde bein sport sifreli yayin var ve maclari keyifle izleyebiliyorsunuz. Kapali havuz tertemiz ve icecek bolumu vqr. Sauna ve hamam bayan ve karma olarak ayrilmis bu cok guzel. Buhar odasi basarili . Tuz odasi da var. Spa dinlenme alani en harikasi. Tamamen misafirlerin rahati icim dizayn edilmis. Disa,olumlu,0.9780913591384888
37,234,Swandor Hotels Resort Topkapi Palace,Yemekleri iyiydi. Oda temizligi iyiydi.,olumlu,0.9877901077270508
38,234,Swandor Hotels Resort Topkapi Palace,Havlular temiz yikanmis fakat onceki musterilerin killari vardi. Havuzlar temizlenmeli. Ben dahil 2 cocugum hastanelik olduk. Cok kalabalik bir hotel bu kadar beklemiyordum. Turki cumhuriyetlerden gelen garson calisanlar soylediklerimin cogunu anlamiyorlar ya eksik ya da farkli bir siparis getirdiler.,olumsuz,0.6303452849388123
116,29,Innvista Belek Antalya,Pek olumsuz yon goremedik..yemek kalitesi biraz daha artirilabilirdi..,olumlu,0.7580891847610474
39,234,Swandor Hotels Resort Topkapi Palace,"Temizlik cok iyiydi Sultan Hanim'a tesekkur ederiz.., yemekler cok iyiydi bol cesit vardi.., Kid's club harika cocuklar icin ayri biz anne babalar icin harika bir mekan , oda guzeldi, Otel konumu, mekan gorunum resimlerde neyse o cikti hayal kirikligina asla ugramadik.. Klimalarla ilgili asla sorun yasamadik..",olumlu,0.9957853555679321
40,234,Swandor Hotels Resort Topkapi Palace,"Sezlong ve delikli sandalyelerin iyilestirilmesi (vucuda batiyor), daha konforlu hale getirilmesi, garsonlarin sayilarinin arttirilmasi.. Sezlonglar cok ic ice tanimadigim insanlarla o kadar yan yana oturmak, yatmak cok sacma..  Animator ekibinin ruhunun getirilmesi gerekiyor..",olumsuz,0.6998726725578308
41,234,Swandor Hotels Resort Topkapi Palace,Denizi ve plaji guzel,olumlu,0.9820801615715027
42,234,Swandor Hotels Resort Topkapi Palace,"Bu 3. Ve son gelisimiz. Cocugumun midesi bulandi, poset istedik, koca otelde poset yok dediler, calisanlar yabanci agirlikli bu yuzden iletisimleri cok zayif. Sikayet edince hemen ilgileniyorlar. Yemek kalitesi kotulesmis ve cesit azalmis. Havuz hijyen degil.",olumsuz,0.8883572220802307
43,234,Swandor Hotels Resort Topkapi Palace,Cocuk kulubu personelleri ilgili hemde etkinlikleri iyi.,olumlu,0.9968338012695312
44,234,Swandor Hotels Resort Topkapi Palace,Bar kafeterya kismindaki personeller cok calistiriliyor galiba suratlar asik ve cok mutsuzlar. Ayrica yeterli personel yok gibi pastane kisminda da cok sira oluyor.,olumsuz,0.8790267109870911
45,234,Swandor Hotels Resort Topkapi Palace,Personel cok guleryuzlu ve ozverili,olumlu,0.9700585007667542
46,234,Swandor Hotels Resort Topkapi Palace,Hanedan A la carte ekibi inanilmaz iyi ozellikle Hande hanima tesekkurler,olumlu,0.9959412813186646
47,234,Swandor Hotels Resort Topkapi Palace,Fiyat performans oteli olabilir,olumlu,0.9404537677764893
48,234,Swandor Hotels Resort Topkapi Palace,Hergun ayni yemekler personel sikintisi hizmet yok sicak havuza servis yok barlarda ve yemeklerde ekmek kuyrugu beklersiniz.,olumsuz,0.9198418855667114
49,234,Swandor Hotels Resort Topkapi Palace,all facilities..,olumlu,0.7482604384422302
50,234,Swandor Hotels Resort Topkapi Palace,nerdeyse yok.,olumsuz,0.8871880769729614
51,234,Swandor Hotels Resort Topkapi Palace,Gerek yemekleri gerek oda temizligi her seyi ile mukemmeldi. Haziranda tekrardan Swandor da konaklayacagim. Asla disariya ihtiyaciniz olmuyor otelin icerisinde hepsi mevcut ve personellerde bi o kadar ilgililer.,olumlu,0.9618806838989258
52,234,Swandor Hotels Resort Topkapi Palace,Marketin acik olmamasi ve sigara icen insanlar stok yapip gelmeliler yada disariya markete gidip sigara alabilirler.,olumlu,0.6587633490562439
53,234,Swandor Hotels Resort Topkapi Palace,EVET  ONERIRIM,olumlu,0.9803641438484192
54,234,Swandor Hotels Resort Topkapi Palace,GUNLUK ODA TEMIZLIGI VE OZENI DUZELTILMESI LAZIM...,olumlu,0.5180159211158752
55,234,Swandor Hotels Resort Topkapi Palace,cocuk oyun alani super.,olumlu,0.9967370629310608
56,234,Swandor Hotels Resort Topkapi Palace,spa ile odalar arasi cok uzak ve kis gunu cok soguk oluyor. cocuklarim ve ben spadan cikinca usuduk.,olumlu,0.8249917030334473
57,234,Swandor Hotels Resort Topkapi Palace,Personel cok iyi,olumlu,0.9885786771774292
58,234,Swandor Hotels Resort Topkapi Palace,Hersey mukemmeldi,olumlu,0.9879100322723389
59,234,Swandor Hotels Resort Topkapi Palace,"Temiz, iyi hizmet",olumlu,0.9964137077331543
60,234,Swandor Hotels Resort Topkapi Palace,Plaj kotu,olumlu,0.8403176069259644
61,234,Swandor Hotels Resort Topkapi Palace,Personel cok Guler yuzlu yardim severdi ozellikle yurt disindan gelen calisanlar harikaydi…,olumlu,0.9897122979164124
62,234,Swandor Hotels Resort Topkapi Palace,En buyuk olumsuzluk yemekler 6 gun donup dolastirip ayni yemekleri yedirdiler… cok kotuydu her gun ayni yemekler hep ayni cesit tatli ve yemek menu hic degismiyor son 3 gun artik aksam yemegine inmedik. Otelin yemek menusunu ve gunluk planlamasi mutlaka degismeli.,olumsuz,0.9990882873535156
63,234,Swandor Hotels Resort Topkapi Palace,"Personel guler yuzluydu, ozellikle Turk personelleriniz cozum odakliydi bu cok guzel kiymetini bilin lutfen ! yemekler guzel , Aquapark fena degil ama daha da gelistirilebilir, icecekler kaliteli animasyon ve sovlar cok iyiyidi",olumlu,0.9900758266448975
64,234,Swandor Hotels Resort Topkapi Palace,"Aksam yemeklerinde yer bulamamaktan cok sikinti yasadik cok yogundu ve personele bu konuyu ilettigimizde kapasite uzerinde misafir alindigini o yuzden bu sikintinin yasandigini ilettiler, Elimizde tabaklarla her aksam dakikalarca  masa aramamiz hos degildi, artik ilk once yer kapmaya calistik boyle bir durum varsa yemek saatlerini uzatmaniz gerekir yer bulduk yemek sectik oturduk 1 saat geciyor zaten .Yani harala gurele yemek yedik.2.ci bir konu sabah kahvaltida caylarinizin bittiginde yerine demlenmemesi, cayin olmamasi.Kahvaltida kalkip 2.bardagima cay almak istedigimde orda burda cay aramamda hos degildi.Gorevliye soyledim hatirlamiyorum ismini efendim servisi bize birakin ben size cay gonderecegim dedi ama cay gelmedi.Yani her sey guzeldi AKSAM YEMEGI ve CAY kargasasi disinda ...",olumsuz,0.5468882918357849
65,234,Swandor Hotels Resort Topkapi Palace,"Cok genis, havuzlari buyuk, kaydiraklari yeterli, cocuk oyun alanlari cok fazla, restaurant ve barlari yeterince iyi, odalari guzel",olumlu,0.9567714929580688
66,234,Swandor Hotels Resort Topkapi Palace,Alkoller verilen markalar iyi ama orjinalliginden emin degilim. Tadlari farkli geldi. Izgara et turleri ben cok goremedim. Yemekler ve icecekler ortanin ustu,olumlu,0.8823659420013428
67,234,Swandor Hotels Resort Topkapi Palace,Otel genel olarak iyi aile temiz ve yemekleri bana hitap eden tarzda herkesin damak tadi nir olmaya bilir ama her damak tanina uygun yemek mevcut,olumlu,0.9898812174797058
68,234,Swandor Hotels Resort Topkapi Palace,Olumsuzluk diil yazdigim havuz basinda yer bulmak icin sabah biraz erken kalkmaniz gerekiyor aksi taktirde havuzda arka taraflarda yer bulursunuz yatmaya degil eglenmeye gidiyorsunuz erken kalkin,olumsuz,0.8701428771018982
69,234,Swandor Hotels Resort Topkapi Palace,"Oda temizligi iyidi,temizlik personeli ilgiliydi, yemek cesidi  fazla olamasi guzeldi, havuz buyuktu, animasyon guzeldi, limonata guzeldi, serpme kahvalti guzeldi, cerezler guzeldi.",olumlu,0.9925670027732849
70,234,Swandor Hotels Resort Topkapi Palace,"Deniz restorantta yiyecek cesidi yetersizdi ,genelde hamur isi agirlikliydi, Hotelin buyugunden kaynakli olabilir garson sayisi yetersiz geliyor, her misafire icecek icermisiniz diye sormuyorlar. Denizin bazi kisimlarinda kayalar yaralayabilir, Pastane suresi ve urun cesidi yetersizdi.",olumsuz,0.9164232015609741
71,234,Swandor Hotels Resort Topkapi Palace,"Cocuk dostu, aile ile kpnaklamaya uygun, eglenceli aktiviteler ve lezzetli yemekler",olumlu,0.9902788400650024
72,234,Swandor Hotels Resort Topkapi Palace,Havuz hijyeni ve senzlong yetersiz,olumsuz,0.9864999651908875
73,234,Swandor Hotels Resort Topkapi Palace,Oda temizligi yeterli degildi.,olumsuz,0.9836236238479614
74,234,Swandor Hotels Resort Topkapi Palace,Otel personeli cok ilgili.Genelde kirgiz calisanlari var.Cok saygili ve ilgililer.,olumlu,0.9300279021263123
75,234,Swandor Hotels Resort Topkapi Palace,Yemek kalitesi biraz daha iyi olabilir,olumlu,0.7011962532997131
117,29,Innvista Belek Antalya,Personeller oldukca ilgili ve Guler yuzlu cok memnun kaldik,olumlu,0.9947670102119446
76,234,Swandor Hotels Resort Topkapi Palace,Odamiz havuza ve restoranlara yakindi.okadar cok sezlog vardi ki aramak zorunda kalmamak cok buyuk bir arti oldu.,olumlu,0.9634339809417725
77,234,Swandor Hotels Resort Topkapi Palace,"Paranin hakkini aldigimizi dusunmuyoruz.yataklar okadar yumusakti ki icine gomuluyordunuz.calisanlarin yabanci olmasi anlasma anlaminda zor oluyordu.mini bar cok yetersiz.plaj havlulari cok eski,tatlilar vasat,",olumsuz,0.9206221699714661
78,234,Swandor Hotels Resort Topkapi Palace,Odamiz temizlikle ilgilenen personel cok iyi eglenceler harika sicaga ragmen personel guleryuzlu ve isbitirici ve yardimsever,olumlu,0.9723171591758728
79,234,Swandor Hotels Resort Topkapi Palace,Otel cok kalabalik 5 gece kalmamiza ragmen alakart restorandan istedigimiz olmadi arap turistlerin gorgusuzlugu duzeni bozuyordu,olumsuz,0.9256179928779602
80,234,Swandor Hotels Resort Topkapi Palace,Havuz buyuklugu ve cesitli havuzlar.yemek cesitleri cok fazla.icecekler kaliteli.,olumlu,0.9490586519241333
81,234,Swandor Hotels Resort Topkapi Palace,Tatli konusunda biraz daha cesit olsa daha guzel olurdu ama tat olarak guzellerdi.,olumlu,0.927655041217804
82,234,Swandor Hotels Resort Topkapi Palace,En uygun odayi secmemize ragmen balayi cifti oldugumuz icin deniz manzarali villa verdiler. Calisanlar cok guleryuzluydu Hanedan a la carte Islam beye sevgiler.etkinlikler hic bitmedi. Yemeklerde iyiydi. Kisacasi mukemmeldi,olumlu,0.9809163808822632
83,234,Swandor Hotels Resort Topkapi Palace,Bilgi ve yonlendirme yok denecek kadar az. Hem yerlesim planini ogrenmek icin hem de organizasyonlara katilmak icin emek vermek gerekiyor,olumsuz,0.7974631190299988
84,234,Swandor Hotels Resort Topkapi Palace,Olumlu yonleri coktu,olumlu,0.9947320222854614
85,234,Swandor Hotels Resort Topkapi Palace,Minibar ertesi gunler yeterince urun konmuyordu-eksik konuyordu,olumsuz,0.5853248238563538
86,234,Swandor Hotels Resort Topkapi Palace,Kids club havuzlar animasyon cok iyiydi,olumlu,0.9921311736106873
87,234,Swandor Hotels Resort Topkapi Palace,Oda tam ihtiyaclari karsilamiyor gelistirilmeli,olumsuz,0.9876629710197449
88,65,Selene Beach Spa Hotel,"Her alanda kalite odagiyla hareket eden harika bir tesisti. Simdiye kadar gittigimiz oteller arasinda en memnun kaldigimiz tesis burasiydi. Ozellikle temizligiyle ve yiyecek icecek kalitesiyle oldukca on plandaydi. Acik bufe restorani cok buyuk degil ama alacaginiz herhangi bir yemek kesinlikle kaliteli malzeme ile yapilmis ve cok lezzetli. Denizi guzel, havuzu guzel ve sakin. Biz daha cok havuzu kullandik. Tatil boyunca ilk defa bir otelde sezlong sikintisi yasamadik. Emegi gecen herkese tesekkurler.",olumlu,0.6934903860092163
89,65,Selene Beach Spa Hotel,"Otelin bulundugu mevki, ambiyansi, cocuk olmamasi, bazi personellerin guleryuzlu olmasi. Yemeklerinin cogunlugu lezzeti iyiydi.",olumlu,0.9857873320579529
90,65,Selene Beach Spa Hotel,Denizi oldukca kirli. Diger komsu otellerde anlasarak denizin dibi temizlenebilir.,olumlu,0.590664267539978
91,2,Adalya Ocean Deluxe,"gelen misafir kitlesi genelde avrupali insanlardi arap musteri olmamasi bizim icin cok guzeldi, yemekler az ve ozdu, hijyen cok iyiydi",olumlu,0.9858776926994324
92,2,Adalya Ocean Deluxe,aksam animasyonlari yetersizdi,olumsuz,0.9882386326789856
93,2,Adalya Ocean Deluxe,"yemek kaliteli, icecekler kaliteli, hizmet ve temizlik iyi",olumlu,0.9969852566719055
94,2,Adalya Ocean Deluxe,Otopark ve otelin kampusu kucuk,olumlu,0.8263352513313293
95,2,Adalya Ocean Deluxe,Hizmet kalitesi ust seviye ve her turlu ihtiyaci karsilayan bir otel,olumlu,0.996187150478363
96,2,Adalya Ocean Deluxe,Eglence alaninin sinirli olmasi,olumsuz,0.5647538900375366
97,2,Adalya Ocean Deluxe,"Odalar temiz ve genis. Cay kahve seti var.  Mini bar her gun soft icecekle dolduruluyor. Odalarda dis fircasi seti,tras seti ve bornozlarimiz hazirdi.  Yemeklerde tavuk-balik ve kirmizi et bazen ilaveten hindi olmak uzere herkese hitap ediyordu. Salata bufesi, meze bufesi ve tatli bufesi cok cesitli ve cok lezzetliydi. Icecekler cok cesitli ve kaliteliydi. Viski ,konyak,rakk tekila vb hepsi mevcuttu ve markaydi. Viski chivas,Jack ve jamesson vb. Raki yeni raki ve yesil efe vb. Sicak sarap,kurutulmus dogal bitkilerden 10 cesit bitki cayi,salep, filtre kahve,demleme cay vb. Cips ve kaliteli cerezi .  Personel son derece guler yuzlu ve ilgili",olumlu,0.9610838294029236
98,28,Hotel Terrace Beach Resort,Personel son derece nazik ve guleryuzlu yemekler harika plaj havuz otel tertemiz her sey cok guzeldi,olumlu,0.9444311857223511
99,28,Hotel Terrace Beach Resort,Bulamadik??,olumsuz,0.516585111618042
100,3,Adam Eve,"Personel guler yuzlu, yemekleri cok guzel, hizmet kalitesi yuksek, odalar tertemiz, deniz ve iskeleye bayildik. Diger otellerin aksine yemek konusunda ""az cesit, yuksek kalite"" anlayisi, bence cok daha iyi.",olumlu,0.9958906173706055
101,3,Adam Eve,"Otel; balayi, ask ve eglence odakli yetiskin konseptine sahip bir otel olsa da, otel icinde ufak da olsa aksamlari nefes alinacak bir alan birakilabilir. (Cafe, bar, patisserie gibi) Her alanda eglence ve canli muzik olunca insan kisa da olsa sessiz kalmak istediginde alan bulamiyor.",olumlu,0.5640692114830017
102,3,Adam Eve,Animasyon ve eglence cok basarili. Oda konforu harika.,olumlu,0.9894016981124878
103,3,Adam Eve,Personel sayisi yetersiz. Hijyeni yeterince onem verilmiyor. Snack ve bar sayisi yetersiz.,olumsuz,0.9019002318382263
104,3,Adam Eve,Yetiskin otel oldugu icin cocuk seslerinin olmamasi iyiydi. Personellerin hepsi cok guzel davraniyor.,olumlu,0.9963231086730957
105,3,Adam Eve,Pek olumsuz yonleri yoktu fiyat performans oteli denebilir.,olumlu,0.960878849029541
106,3,Adam Eve,Cocuk olmamasi,olumsuz,0.7064205408096313
107,3,Adam Eve,Yemek kalitesi daha iyi olabilir,olumlu,0.8521118760108948
108,3,Adam Eve,Eglencesi ortam ickiler odanin rahatligi sampanya ikrami hepsi harika,olumlu,0.988005518913269
109,3,Adam Eve,Tek olumsuz yonu f&b de personel mi eksik bilmiyorum ama yetismekte zorlaniyorlar icki almak icin hep bara gitmeme ragmen en az yarim saat sira bekledim cogunlukla ki 3.gidisim hep bu sorun vardi .,olumsuz,0.9851775765419006
110,296,Royal Atlantis Beach,"Plaj genis ve kumluk, girisi cok kolay. Yuruyus alanlari kisa, tam bir aile oteli. Calisanlar cok ilgili ve guleryuzu. Yemekler lezzetli ve guzel.",olumlu,0.9789210557937622
111,296,Royal Atlantis Beach,Eglence saat 23:00'da bitiyor. Otelde konaklayan misafirler yas ortalamasi yuksek. Ickiler bira haric cok kotu.,olumsuz,0.5636948347091675
112,29,Innvista Belek Antalya,Otel gayet iyi temiz ve luks bir oteldi. Tatil boyunca memnun kaldik.  Odalar cok luks ve WC Ler tertemizdi.,olumlu,0.9482752680778503
113,29,Innvista Belek Antalya,Malesef kaldigimiz donemde zenci ve Arap cogunluktaydi. Aqua parklarda yemek ve icecek sirasinda beklemeden her yere girip cikip cahilde davranista bulundular. Ozellikle cocuk aqua parkinda buyukler cocugun kaymasini beklemeden atlamalari kazaya sebebiyet verebilirdi.,olumsuz,0.8513585329055786
114,29,Innvista Belek Antalya,"Aile ve cocuk dostu, kaliteli hizmet, ilgili personel, temiz odalar, cesitlilik gosteren restorant, barlarda urun cesitliligi, minikler ve buyukler icin eglence cok guzel.",olumlu,0.9849878549575806
115,29,Innvista Belek Antalya,Calisan personel cok ilgiliydi.Otel genel anlamda cok temizdi..Havuz sayisi fazlaydi sikisiklik yoktu.,olumlu,0.9804157018661499
118,29,Innvista Belek Antalya,Aqua parki kucuk ve uzun tup kaydirak siyah yapilmis cocugum korktu giremedi ayrica  cok kalabalik oluyor bunun disinda hicbir sorun yok,olumlu,0.9945019483566284
119,117,The X Belek,Yeme icme  Konum  Temizlik  Personel,olumlu,0.7570069432258606
120,117,The X Belek,Havuz kucuk  Denize sifir degil,olumsuz,0.8567827343940735
121,117,The X Belek,Oda temizligi her gun iyi sekilde degildi. Havuzlar kucuk,olumsuz,0.9804469347000122
122,117,The X Belek,Fiyatina gore gayet guzel.Konumu iyi denize yakin yemekler cok lezzetli,olumlu,0.9902877807617188
123,117,The X Belek,"Odada jakuzili calistirdiktan sonra berbat bir koku . Yemek bolumunde yemek bitene kadar siparis gelmemesi , havuz etkinliklerinin yetiskin havuzu olmasina ragmen herkesin oldugu tarafta yapilmasi gece clube bolumunde ki berbat dj performans",olumsuz,0.9986310005187988
124,117,The X Belek,"Ekip mutluydu, hizmet cok iyiydi. Annem ve kizimla geldik hepsi cok memnun kaldi. Ne talep etsek fazlasiyla yapildi.",olumlu,0.9962570667266846
125,117,The X Belek,"Oda temizliginden mutsuz olduk. Odamizi degistrme talebinde bulunduk, bizden kaynakli bir durumdu saolaunlar yardimci oldular ama verilen odanin balkonu inanilmaz tozluydu.",olumsuz,0.9747635126113892
126,117,The X Belek,"Yetiskin ve cocuk alanlarinin ayri olmasi, yiyecek icecek kalitesi, temizlik olumlu",olumlu,0.9978474378585815
127,117,The X Belek,"Denize sifir olsa guzel olurdu, havuzu yetersiz",olumsuz,0.7677640914916992
128,727,Mucho Butik Otel,"uc kisilik arkadas grubuyla kalmaya geldik oda, hem genis hem ferah hem de cok temizdi. konumu da plaja gayet yakindi. calisanlar da guler yuzlulerdi.",olumlu,0.9734237790107727
129,727,Mucho Butik Otel,kahvaltisi idare eder,olumlu,0.9927662014961243
130,202,Green Nature Diamond,Otelin konumu gayet guzel ayrica yemek cesidi konusunda sikinti yok. Personel gayet uyumlu ozellikle housekeeping ve bar personelleri kalabalik bir otel de canla basla calismaya ugrasiyor.,olumlu,0.9932883977890015
131,202,Green Nature Diamond,Otel de havuz kalabalik ve havuz duzeni konusunda yapilmasi gerekenler var gibi ....,olumsuz,0.5418236255645752
132,202,Green Nature Diamond,"Herseyden once otelin planlamasi ve mimari yapisi konuklarini rahat ettirmek uzerine kurulmus. Odalar ferah, koridorlar genis. Yesil alan mukemmel otesi. Temizlik super. Hergun oda temizligi yapiliyor. Hergun mini bar dolduruluyor. Yemekler cok cesitli. O kadar ki, seyretmekle doyuyor insan. Calisanlarin mutlu oldugu cok belli, isteyerek hizmet veriyorlar.",olumlu,0.9912552833557129
133,202,Green Nature Diamond,"Bu kalitede bir otelin kahvelerini begenmedim. Daha dogrusu siradan otellerin sundugu instant kahve yerine daha profesyonel, cekirdekten taze kahveye donmelerini oneriyorum. Instant kahveden daha ucuz oldugunu dusunuyorum. Ayrica artik hepimizin evine giren ve damak tadimizin asina oldugu taze ogutulmus kahve kokusuyla gune baslamak harika olurdu dogrusu.",olumsuz,0.9865747094154358
134,202,Green Nature Diamond,Havuz en buyuk problemdi.,olumsuz,0.9802165031433105
135,202,Green Nature Diamond,Her dakikasi dolu dolu geciyor,olumlu,0.8827606439590454
136,66,Sensitive Premium Resort Spa,Personeller musteri memnuniyeti adina herseyi yapmaya her daim hazirlar. Animasyon ekibi musteriler ile surekli ilgili. Aile ile rahat edebileceginiz bir ortam var.,olumlu,0.8840182423591614
137,66,Sensitive Premium Resort Spa,Icecek konusunda gelismeli. Sise bira lobi barda servis edilse bir nebze musteri memnuniyeti adina iyi olabilir.Sadece 8-12 arasinda 1 defa havuz bar uzerinde sise bira icildigini son gun ogrendim o gunde hafif bir sarhosluk hissettim.,olumlu,0.9657646417617798
138,4,Adin Beach Hotel,Calisanlar cok guler yuzlu ve ilgililerdi animasyon ekibi cok iyiydi,olumlu,0.9977588653564453
